mode,instance,seed,baseline,candidate,z3
solver,unknown-4x4,10,3472386,3431608,22060643
solver,unknown-4x4,11,3462005,3425184,22600097
solver,unknown-4x4,12,3451893,3413037,23652114
solver,unknown-4x4,13,3448813,3409150,21964006
solver,unknown-4x4,14,3475085,3446708,22287389
solver,unknown-4x4,15,3464438,3425008,22271230
solver,unknown-4x4,16,3449513,3410820,22700818
solver,unknown-4x4,17,3448542,3409752,22181718
solver,unknown-4x4,18,3627987,3540933,21841699
solver,unknown-4x4,19,3463020,3424415,22312460
solver,present-4x4,10,4664543,4533549,22138143
solver,present-4x4,11,4653387,4538049,22170003
solver,present-4x4,12,4591213,4469323,22451132
solver,present-4x4,13,4649301,4500004,22148549
solver,present-4x4,14,4641211,4517739,22218618
solver,present-4x4,15,4654312,4539101,22194808
solver,present-4x4,16,4592539,4469191,22231126
solver,present-4x4,17,4651332,4501329,22234090
solver,present-4x4,18,4662227,4532184,22168932
solver,present-4x4,19,4652005,4539912,22147445
solver,absent-4x4,10,3608955,3566483,22190315
solver,absent-4x4,11,3603277,3558821,22189054
solver,absent-4x4,12,3583669,3538732,22190155
solver,absent-4x4,13,3603731,3558769,22181823
solver,absent-4x4,14,3616608,3583086,22815796
solver,absent-4x4,15,3604628,3560088,22171047
solver,absent-4x4,16,3581932,3541490,22246711
solver,absent-4x4,17,3602650,3560917,22214497
solver,absent-4x4,18,3608315,3565631,22189734
solver,absent-4x4,19,3601247,3560958,22178098
solver,shared-4x4,10,3443330,3361303,21521101
solver,shared-4x4,11,3447696,3367289,21863560
solver,shared-4x4,12,3418960,3338558,21584627
solver,shared-4x4,13,3389839,3301733,21721378
solver,shared-4x4,14,3520259,3440090,21310250
solver,shared-4x4,15,3448196,3371265,21273368
solver,shared-4x4,16,3421523,3337846,21594337
solver,shared-4x4,17,3391232,3301894,22270981
solver,shared-4x4,18,3465883,3384602,22067126
solver,shared-4x4,19,3447273,3367213,21255784
solver,blocked-4x4,10,4520057,3412419,29527043
solver,blocked-4x4,11,4524944,3408586,29933444
solver,blocked-4x4,12,4529287,3408061,31590010
solver,blocked-4x4,13,4524908,3407428,30893134
solver,blocked-4x4,14,4553670,3442717,31050680
solver,blocked-4x4,15,4523041,3409106,33966723
solver,blocked-4x4,16,4520680,3408554,33157104
solver,blocked-4x4,17,4522662,3408135,30253817
solver,blocked-4x4,18,4522276,3407909,32870097
solver,blocked-4x4,19,4523130,3409878,26890622
solver,wide-4x4,10,3873416,3833180,24211377
solver,wide-4x4,11,3873797,3833247,24786664
solver,wide-4x4,12,3875342,3835680,25860267
solver,wide-4x4,13,3873155,3832904,24012958
solver,wide-4x4,14,3871564,3843653,24355778
solver,wide-4x4,15,3874171,3833179,24294611
solver,wide-4x4,16,3874301,3832939,24897770
solver,wide-4x4,17,3872711,3833045,24320834
solver,wide-4x4,18,4029953,3937910,23820917
solver,wide-4x4,19,3874031,3835521,24306485
solver,sparse-4x4,10,22252486,19142304,30660882
solver,sparse-4x4,11,22220255,19113629,29575652
solver,sparse-4x4,12,22202155,19248357,29825156
solver,sparse-4x4,13,22051715,18939181,28951044
solver,sparse-4x4,14,22250348,19502424,29900547
solver,sparse-4x4,15,22239822,19146838,28947905
solver,sparse-4x4,16,22375008,19203189,29540994
solver,sparse-4x4,17,22153232,19136959,29218157
solver,sparse-4x4,18,22151353,19173977,29903707
solver,sparse-4x4,19,22221990,19114738,31596764
solver,unknown-8x16,10,113653860,63512529,55422647
solver,unknown-8x16,11,125421695,68509455,53571566
solver,unknown-8x16,12,99145860,63560545,52380192
solver,unknown-8x16,13,112655185,62866400,50805946
solver,unknown-8x16,14,87775211,60514315,51922697
solver,unknown-8x16,15,115448560,66626616,52315530
solver,unknown-8x16,16,128105079,69675034,54141400
solver,unknown-8x16,17,104420484,63057969,53371492
solver,unknown-8x16,18,101522688,62437521,51103831
solver,unknown-8x16,19,112990994,63216981,52410102
solver,present-8x16,10,267100393,139707726,51745145
solver,present-8x16,11,260313098,138071260,54434768
solver,present-8x16,12,252585199,143212761,53133846
solver,present-8x16,13,252211230,135442686,51295518
solver,present-8x16,14,237159068,138018017,56215091
solver,present-8x16,15,252686552,142740643,62448897
solver,present-8x16,16,266653326,142510114,53382780
solver,present-8x16,17,270609432,133597165,52028707
solver,present-8x16,18,267553109,135960675,52514592
solver,present-8x16,19,271104391,134994809,51288659
solver,absent-8x16,10,120324478,65197205,52868455
solver,absent-8x16,11,114646580,62594711,52091930
solver,absent-8x16,12,103019994,61657281,53495973
solver,absent-8x16,13,111121554,60855999,51862637
solver,absent-8x16,14,94365633,59395606,55291283
solver,absent-8x16,15,109041388,61706668,61918016
solver,absent-8x16,16,129949555,70545199,52400317
solver,absent-8x16,17,108224541,61193052,53114085
solver,absent-8x16,18,103897804,59960940,51819306
solver,absent-8x16,19,111362940,61108179,51431712
solver,shared-8x16,10,138880593,74094528,52773259
solver,shared-8x16,11,132685040,71691593,52148327
solver,shared-8x16,12,120318766,71685783,55758032
solver,shared-8x16,13,127457884,69046711,53978088
solver,shared-8x16,14,109154096,67538705,56809506
solver,shared-8x16,15,127338319,72798067,58154191
solver,shared-8x16,16,146100732,79438320,53756324
solver,shared-8x16,17,125057107,67744965,53217784
solver,shared-8x16,18,121546700,67917718,54084349
solver,shared-8x16,19,129989909,69258460,54010211
solver,blocked-8x16,10,252940544,76161859,164165438
solver,blocked-8x16,11,247346665,73710169,127239966
solver,blocked-8x16,12,235722546,72863315,192386188
solver,blocked-8x16,13,243907926,72122603,166887391
solver,blocked-8x16,14,227292047,70692350,173049185
solver,blocked-8x16,15,241904180,73000013,194195048
solver,blocked-8x16,16,262852674,82004979,149497837
solver,blocked-8x16,17,240855989,72118173,153356873
solver,blocked-8x16,18,236361438,70957554,200746647
solver,blocked-8x16,19,243926878,72126684,169219037
solver,wide-8x16,10,131871327,82087877,71183632
solver,wide-8x16,11,143868669,87263392,69545176
solver,wide-8x16,12,117748489,82268824,68217985
solver,wide-8x16,13,130882804,81418898,65228987
solver,wide-8x16,14,106514469,79198638,67773542
solver,wide-8x16,15,134111244,85231404,67829556
solver,wide-8x16,16,146959865,88649114,70323455
solver,wide-8x16,17,122798098,81461306,69211220
solver,wide-8x16,18,119702346,80583181,66060083
solver,wide-8x16,19,130882946,81419678,68495019
solver,sparse-8x16,10,2239473465,999112284,107499315
solver,sparse-8x16,11,2344804827,1006957308,108299111
solver,sparse-8x16,12,2078969770,922734372,108685982
solver,sparse-8x16,13,2324822174,1019366271,102545266
solver,sparse-8x16,14,2110036770,1013861705,108764301
solver,sparse-8x16,15,2131943581,969905208,114043668
solver,sparse-8x16,16,2196081392,964262831,107117054
solver,sparse-8x16,17,2311474385,1000619096,104197632
solver,sparse-8x16,18,2145404168,1004328257,106746116
solver,sparse-8x16,19,2410713246,1106241116,104247760
certified,unknown-4x4,10,3825591,3785527,22060643
certified,unknown-4x4,11,3818450,3779095,22600097
certified,unknown-4x4,12,3801233,3767173,23652114
certified,unknown-4x4,13,3798618,3762155,21964006
certified,unknown-4x4,14,3825857,3800083,22287389
certified,unknown-4x4,15,3816649,3778481,22271230
certified,unknown-4x4,16,3804066,3763018,22700818
certified,unknown-4x4,17,3797735,3762226,22181718
certified,unknown-4x4,18,3982147,3897662,21841699
certified,unknown-4x4,19,3816717,3787322,22312460
certified,present-4x4,10,5091803,4966824,22138143
certified,present-4x4,11,5089480,4974342,22170003
certified,present-4x4,12,5018483,4897568,22451132
certified,present-4x4,13,5080278,4932494,22148549
certified,present-4x4,14,5077151,4959626,22218618
certified,present-4x4,15,5085988,4973367,22194808
certified,present-4x4,16,5016852,4900383,22231126
certified,present-4x4,17,5079811,4932236,22234090
certified,present-4x4,18,5095783,4968276,22168932
certified,present-4x4,19,5086217,4972449,22147445
certified,absent-4x4,10,4057372,4014653,22190315
certified,absent-4x4,11,4051261,4012792,22189054
certified,absent-4x4,12,4035840,3987359,22190155
certified,absent-4x4,13,4050361,4006336,22181823
certified,absent-4x4,14,4063071,4031722,22815796
certified,absent-4x4,15,4054325,4008787,22171047
certified,absent-4x4,16,4032234,3992173,22246711
certified,absent-4x4,17,4054836,4008362,22214497
certified,absent-4x4,18,4057781,4013626,22189734
certified,absent-4x4,19,4051008,4008880,22178098
certified,shared-4x4,10,3780344,3699290,21521101
certified,shared-4x4,11,3783305,3706834,21863560
certified,shared-4x4,12,3755658,3676239,21584627
certified,shared-4x4,13,3730175,3640722,21721378
certified,shared-4x4,14,3866589,3778686,21310250
certified,shared-4x4,15,3784417,3709896,21273368
certified,shared-4x4,16,3760826,3678028,21594337
certified,shared-4x4,17,3732484,3640695,22270981
certified,shared-4x4,18,3817301,3742351,22067126
certified,shared-4x4,19,3784815,3708728,21255784
certified,blocked-4x4,10,4890180,3777547,29527043
certified,blocked-4x4,11,4888069,3778014,29933444
certified,blocked-4x4,12,4890969,3777160,31590010
certified,blocked-4x4,13,4892853,3781219,30893134
certified,blocked-4x4,14,4926164,3820572,31050680
certified,blocked-4x4,15,4898106,3783199,33966723
certified,blocked-4x4,16,4888123,3783309,33157104
certified,blocked-4x4,17,4890621,3778480,30253817
certified,blocked-4x4,18,4893934,3776078,32870097
certified,blocked-4x4,19,4891931,3782337,26890622
certified,wide-4x4,10,4225797,4188325,24211377
