mode,instance,seed,baseline,candidate,z3
solver,unknown-4x4,10,3472386,3364464,22060643
solver,unknown-4x4,11,3462005,3356700,22600097
solver,unknown-4x4,12,3451893,3344849,23652114
solver,unknown-4x4,13,3448813,3340190,21964006
solver,unknown-4x4,14,3475085,3377740,22287389
solver,unknown-4x4,15,3464438,3355451,22271230
solver,unknown-4x4,16,3449513,3342014,22700818
solver,unknown-4x4,17,3448542,3341170,22181718
solver,unknown-4x4,18,3627987,3470760,21841699
solver,unknown-4x4,19,3463020,3358475,22312460
solver,present-4x4,10,4664543,4457731,22138143
solver,present-4x4,11,4653387,4466479,22170003
solver,present-4x4,12,4591213,4396898,22451132
solver,present-4x4,13,4649301,4425958,22148549
solver,present-4x4,14,4641211,4443907,22218618
solver,present-4x4,15,4654312,4466126,22194808
solver,present-4x4,16,4592539,4397108,22231126
solver,present-4x4,17,4651332,4429357,22234090
solver,present-4x4,18,4662227,4458946,22168932
solver,present-4x4,19,4652005,4464434,22147445
solver,absent-4x4,10,3608955,3486511,22190315
solver,absent-4x4,11,3603277,3480639,22189054
solver,absent-4x4,12,3583669,3460586,22190155
solver,absent-4x4,13,3603731,3481422,22181823
solver,absent-4x4,14,3616608,3502325,22815796
solver,absent-4x4,15,3604628,3480660,22171047
solver,absent-4x4,16,3581932,3462116,22246711
solver,absent-4x4,17,3602650,3482716,22214497
solver,absent-4x4,18,3608315,3486036,22189734
solver,absent-4x4,19,3601247,3482700,22178098
solver,shared-4x4,10,3443330,3301477,21521101
solver,shared-4x4,11,3447696,3310459,21863560
solver,shared-4x4,12,3418960,3278502,21584627
solver,shared-4x4,13,3389839,3245809,21721378
solver,shared-4x4,14,3520259,3379339,21310250
solver,shared-4x4,15,3448196,3308921,21273368
solver,shared-4x4,16,3421523,3277821,21594337
solver,shared-4x4,17,3391232,3241306,22270981
solver,shared-4x4,18,3465883,3328240,22067126
solver,shared-4x4,19,3447273,3308057,21255784
solver,blocked-4x4,10,4520057,3345535,29527043
solver,blocked-4x4,11,4524944,3347806,29933444
solver,blocked-4x4,12,4529287,3347818,31590010
solver,blocked-4x4,13,4524908,3347238,30893134
solver,blocked-4x4,14,4553670,3379018,31050680
solver,blocked-4x4,15,4523041,3345644,33966723
solver,blocked-4x4,16,4520680,3345294,33157104
solver,blocked-4x4,17,4522662,3347075,30253817
solver,blocked-4x4,18,4522276,3346282,32870097
solver,blocked-4x4,19,4523130,3345765,26890622
solver,wide-4x4,10,3873416,3764786,24211377
solver,wide-4x4,11,3873797,3766261,24786664
solver,wide-4x4,12,3875342,3763935,25860267
solver,wide-4x4,13,3873155,3767660,24012958
solver,wide-4x4,14,3871564,3779807,24355778
solver,wide-4x4,15,3874171,3764379,24294611
solver,wide-4x4,16,3874301,3765286,24897770
solver,wide-4x4,17,3872711,3765879,24320834
solver,wide-4x4,18,4029953,3874359,23820917
solver,wide-4x4,19,3874031,3765921,24306485
solver,sparse-4x4,10,22252486,18941785,30660882
solver,sparse-4x4,11,22220255,18911752,29575652
solver,sparse-4x4,12,22202155,19020732,29825156
solver,sparse-4x4,13,22051715,18741809,28951044
solver,sparse-4x4,14,22250348,19265699,29900547
solver,sparse-4x4,15,22239822,18929982,28947905
solver,sparse-4x4,16,22375008,19016206,29540994
solver,sparse-4x4,17,22153232,18918393,29218157
solver,sparse-4x4,18,22151353,18948439,29903707
solver,sparse-4x4,19,22221990,18913319,31596764
solver,unknown-8x16,10,113653860,61876897,55422647
solver,unknown-8x16,11,125421695,66886759,53571566
solver,unknown-8x16,12,99145860,61939555,52380192
solver,unknown-8x16,13,112655185,61224857,50805946
solver,unknown-8x16,14,87775211,58728436,51922697
solver,unknown-8x16,15,115448560,64924057,52315530
solver,unknown-8x16,16,128105079,68058635,54141400
solver,unknown-8x16,17,104420484,61366486,53371492
solver,unknown-8x16,18,101522688,60696728,51103831
solver,unknown-8x16,19,112990994,61577000,52410102
solver,present-8x16,10,267100393,138103000,51745145
solver,present-8x16,11,260313098,136450378,54434768
solver,present-8x16,12,252585199,141525479,53133846
solver,present-8x16,13,252211230,133798275,51295518
solver,present-8x16,14,237159068,136367615,56215091
solver,present-8x16,15,252686552,141190500,62448897
solver,present-8x16,16,266653326,140884679,53382780
solver,present-8x16,17,270609432,132030017,52028707
solver,present-8x16,18,267553109,134372703,52514592
solver,present-8x16,19,271104391,133324314,51288659
solver,absent-8x16,10,120324478,63523616,52868455
solver,absent-8x16,11,114646580,61079098,52091930
solver,absent-8x16,12,103019994,60060851,53495973
solver,absent-8x16,13,111121554,59276814,51862637
solver,absent-8x16,14,94365633,57758748,55291283
solver,absent-8x16,15,109041388,60141237,61918016
solver,absent-8x16,16,129949555,68999834,52400317
solver,absent-8x16,17,108224541,59418869,53114085
solver,absent-8x16,18,103897804,58344427,51819306
solver,absent-8x16,19,111362940,59530983,51431712
solver,shared-8x16,10,138880593,72586399,52773259
solver,shared-8x16,11,132685040,70296377,52148327
solver,shared-8x16,12,120318766,70189894,55758032
solver,shared-8x16,13,127457884,67680242,53978088
solver,shared-8x16,14,109154096,65956425,56809506
solver,shared-8x16,15,127338319,71386149,58154191
solver,shared-8x16,16,146100732,77883900,53756324
solver,shared-8x16,17,125057107,66208025,53217784
solver,shared-8x16,18,121546700,66429038,54084349
solver,shared-8x16,19,129989909,67888780,54010211
solver,blocked-8x16,10,252940544,74687135,164165438
solver,blocked-8x16,11,247346665,72198234,127239966
solver,blocked-8x16,12,235722546,71291953,192386188
solver,blocked-8x16,13,243907926,70549331,166887391
solver,blocked-8x16,14,227292047,69175956,173049185
solver,blocked-8x16,15,241904180,71451690,194195048
solver,blocked-8x16,16,262852674,80514634,149497837
solver,blocked-8x16,17,240855989,70554446,153356873
solver,blocked-8x16,18,236361438,69439279,200746647
solver,blocked-8x16,19,243926878,70565621,169219037
solver,wide-8x16,10,131871327,80422831,71183632
solver,wide-8x16,11,143868669,85506397,69545176
solver,wide-8x16,12,117748489,80582431,68217985
solver,wide-8x16,13,130882804,79817155,65228987
solver,wide-8x16,14,106514469,77552657,67773542
solver,wide-8x16,15,134111244,83680346,67829556
solver,wide-8x16,16,146959865,87073829,70323455
solver,wide-8x16,17,122798098,79851665,69211220
solver,wide-8x16,18,119702346,78995909,66060083
solver,wide-8x16,19,130882946,79818622,68495019
solver,sparse-8x16,10,2239473465,995003295,107499315
solver,sparse-8x16,11,2344804827,1003747738,108299111
solver,sparse-8x16,12,2078969770,918805872,108685982
solver,sparse-8x16,13,2324822174,1016029708,102545266
solver,sparse-8x16,14,2110036770,1009761062,108764301
solver,sparse-8x16,15,2131943581,965984948,114043668
solver,sparse-8x16,16,2196081392,961129823,107117054
solver,sparse-8x16,17,2311474385,998375313,104197632
solver,sparse-8x16,18,2145404168,1000173255,106746116
solver,sparse-8x16,19,2410713246,1103144509,104247760
certified,unknown-4x4,10,3825591,3715835,22060643
certified,unknown-4x4,11,3818450,3710464,22600097
certified,unknown-4x4,12,3801233,3702640,23652114
certified,unknown-4x4,13,3798618,3689601,21964006
certified,unknown-4x4,14,3825857,3728535,22287389
certified,unknown-4x4,15,3816649,3711628,22271230
certified,unknown-4x4,16,3804066,3693471,22700818
certified,unknown-4x4,17,3797735,3691740,22181718
certified,unknown-4x4,18,3982147,3827030,21841699
certified,unknown-4x4,19,3816717,3714629,22312460
certified,present-4x4,10,5091803,4893692,22138143
certified,present-4x4,11,5089480,4897241,22170003
certified,present-4x4,12,5018483,4823109,22451132
certified,present-4x4,13,5080278,4855123,22148549
certified,present-4x4,14,5077151,4880827,22218618
certified,present-4x4,15,5085988,4898878,22194808
certified,present-4x4,16,5016852,4825965,22231126
certified,present-4x4,17,5079811,4854968,22234090
certified,present-4x4,18,5095783,4889586,22168932
certified,present-4x4,19,5086217,4897395,22147445
certified,absent-4x4,10,4057372,3937014,22190315
certified,absent-4x4,11,4051261,3926604,22189054
certified,absent-4x4,12,4035840,3904441,22190155
certified,absent-4x4,13,4050361,3928074,22181823
certified,absent-4x4,14,4063071,3953579,22815796
certified,absent-4x4,15,4054325,3925536,22171047
certified,absent-4x4,16,4032234,3908451,22246711
certified,absent-4x4,17,4054836,3933827,22214497
certified,absent-4x4,18,4057781,3931978,22189734
certified,absent-4x4,19,4051008,3929817,22178098
certified,shared-4x4,10,3780344,3643290,21521101
certified,shared-4x4,11,3783305,3657006,21863560
certified,shared-4x4,12,3755658,3617750,21584627
certified,shared-4x4,13,3730175,3583270,21721378
certified,shared-4x4,14,3866589,3720950,21310250
certified,shared-4x4,15,3784417,3650026,21273368
certified,shared-4x4,16,3760826,3619497,21594337
certified,shared-4x4,17,3732484,3581766,22270981
certified,shared-4x4,18,3817301,3676119,22067126
certified,shared-4x4,19,3784815,3649391,21255784
certified,blocked-4x4,10,4890180,3716605,29527043
certified,blocked-4x4,11,4888069,3715279,29933444
certified,blocked-4x4,12,4890969,3715542,31590010
certified,blocked-4x4,13,4892853,3715604,30893134
certified,blocked-4x4,14,4926164,3758381,31050680
certified,blocked-4x4,15,4898106,3717998,33966723
certified,blocked-4x4,16,4888123,3719771,33157104
certified,blocked-4x4,17,4890621,3718086,30253817
certified,blocked-4x4,18,4893934,3714182,32870097
certified,blocked-4x4,19,4891931,3719419,26890622
certified,wide-4x4,10,4225797,4119233,24211377
certified,wide-4x4,11,4228600,4121562,24786664
certified,wide-4x4,12,4227516,4119542,25860267
certified,wide-4x4,13,4225070,4118432,24012958
certified,wide-4x4,14,4224126,4128584,24355778
certified,wide-4x4,15,4232116,4123892,24294611
certified,wide-4x4,16,4228965,4117633,24897770
certified,wide-4x4,17,4231592,4123988,24320834
certified,wide-4x4,18,4386186,4228528,23820917
certified,wide-4x4,19,4229991,4122101,24306485
certified,sparse-4x4,10,23709754,20411179,30660882
certified,sparse-4x4,11,23685762,20384692,29575652
certified,sparse-4x4,12,23645167,20452795,29825156
certified,sparse-4x4,13,23538427,20206461,28951044
certified,sparse-4x4,14,23713946,20704368,29900547
certified,sparse-4x4,15,23695984,20401303,28947905
certified,sparse-4x4,16,23837788,20483301,29540994
certified,sparse-4x4,17,23592110,20384373,29218157
certified,sparse-4x4,18,23601488,20398242,29903707
certified,sparse-4x4,19,23676270,20390432,31596764
certified,unknown-8x16,10,115100607,63673881,55422647
certified,unknown-8x16,11,127198409,68935937,53571566
certified,unknown-8x16,12,100701106,63654949,52380192
certified,unknown-8x16,13,114195879,63023266,50805946
certified,unknown-8x16,14,89395101,60445078,51922697
certified,unknown-8x16,15,117324997,66838200,52315530
certified,unknown-8x16,16,129865001,69973477,54141400
certified,unknown-8x16,17,105928593,63050489,53371492
certified,unknown-8x16,18,103085887,62377646,51103831
certified,unknown-8x16,19,114540246,63379118,52410102
certified,present-8x16,10,268833974,139986198,51745145
certified,present-8x16,11,262035207,138255572,54434768
certified,present-8x16,12,254431719,143361418,53133846
certified,present-8x16,13,253903100,135682539,51295518
certified,present-8x16,14,238953100,138266819,56215091
certified,present-8x16,15,254561291,143144201,62448897
certified,present-8x16,16,268514883,142863474,53382780
certified,present-8x16,17,272304525,133766558,52028707
certified,present-8x16,18,269379348,136285553,52514592
certified,present-8x16,19,272804383,135211041,51288659
certified,absent-8x16,10,122279789,65419439,52868455
certified,absent-8x16,11,116509259,62747684,52091930
certified,absent-8x16,12,104808847,61808819,53495973
certified,absent-8x16,13,112989158,60975294,51862637
certified,absent-8x16,14,96155603,59580750,55291283
certified,absent-8x16,15,110946476,61929137,61918016
certified,absent-8x16,16,131996232,70972269,52400317
certified,absent-8x16,17,110064643,61268635,53114085
certified,absent-8x16,18,105730084,60095257,51819306
certified,absent-8x16,19,113245765,61234328,51431712
certified,shared-8x16,10,140427513,74198729,52773259
certified,shared-8x16,11,134095957,71727374,52148327
certified,shared-8x16,12,121805309,71823018,55758032
certified,shared-8x16,13,128836476,69027083,53978088
certified,shared-8x16,14,110720236,67559598,56809506
certified,shared-8x16,15,128780653,72895147,58154191
certified,shared-8x16,16,147812911,79544450,53756324
certified,shared-8x16,17,126367805,67716085,53217784
certified,shared-8x16,18,123194583,68077340,54084349
certified,shared-8x16,19,131367800,69228477,54010211
certified,blocked-8x16,10,254791131,76518233,164165438
certified,blocked-8x16,11,249148584,74020098,127239966
certified,blocked-8x16,12,237541825,73128055,192386188
certified,blocked-8x16,13,245699549,72367080,166887391
certified,blocked-8x16,14,229077532,71013017,173049185
certified,blocked-8x16,15,243688507,73314901,194195048
certified,blocked-8x16,16,264859293,82505502,149497837
certified,blocked-8x16,17,242670847,72424122,153356873
certified,blocked-8x16,18,238147956,71201962,200746647
certified,blocked-8x16,19,245734373,72403901,169219037
certified,wide-8x16,10,133531067,81876932,71183632
certified,wide-8x16,11,145638942,87315045,69545176
certified,wide-8x16,12,119444300,82385977,68217985
certified,wide-8x16,13,132447467,81253905,65228987
certified,wide-8x16,14,108143597,79276325,67773542
certified,wide-8x16,15,135960060,85579197,67829556
certified,wide-8x16,16,148761635,88893663,70323455
certified,wide-8x16,17,124670478,81538804,69211220
certified,wide-8x16,18,121308563,80549204,66060083
certified,wide-8x16,19,132458532,81264766,68495019
certified,sparse-8x16,10,2246465150,1001106018,107499315
certified,sparse-8x16,11,2352247246,1012810544,108299111
certified,sparse-8x16,12,2080958736,921817756,108685982
certified,sparse-8x16,13,2335055439,1023478186,102545266
certified,sparse-8x16,14,2114627484,1014982125,108764301
certified,sparse-8x16,15,2141338764,971893280,114043668
certified,sparse-8x16,16,2206341176,972448898,107117054
certified,sparse-8x16,17,2316022550,1007882112,104197632
certified,sparse-8x16,18,2149316585,1004084012,106746116
certified,sparse-8x16,19,2419186087,1110522914,104247760
