mode,instance,seed,baseline,candidate,z3
solver,unknown-4x4,10,3380539,3364679,22060643
solver,unknown-4x4,11,3373695,3357978,22600097
solver,unknown-4x4,12,3362733,3345902,23652114
solver,unknown-4x4,13,3361568,3344442,21964006
solver,unknown-4x4,14,3389107,3372077,22287389
solver,unknown-4x4,15,3374708,3360606,22271230
solver,unknown-4x4,16,3361871,3344670,22700818
solver,unknown-4x4,17,3361386,3344723,22181718
solver,unknown-4x4,18,3487160,3462299,21841699
solver,unknown-4x4,19,3374238,3358757,22312460
solver,present-4x4,10,4421640,4438207,22138143
solver,present-4x4,11,4427520,4448085,22170003
solver,present-4x4,12,4368006,4386495,22451132
solver,present-4x4,13,4391497,4413061,22148549
solver,present-4x4,14,4410378,4429107,22218618
solver,present-4x4,15,4428733,4447431,22194808
solver,present-4x4,16,4366274,4386368,22231126
solver,present-4x4,17,4393756,4410971,22234090
solver,present-4x4,18,4419754,4438936,22168932
solver,present-4x4,19,4427810,4449084,22147445
solver,absent-4x4,10,3516096,3493649,22190315
solver,absent-4x4,11,3511929,3487554,22189054
solver,absent-4x4,12,3492574,3468952,22190155
solver,absent-4x4,13,3512573,3488193,22181823
solver,absent-4x4,14,3528014,3508438,22815796
solver,absent-4x4,15,3511708,3485377,22171047
solver,absent-4x4,16,3493991,3469587,22246711
solver,absent-4x4,17,3512330,3487540,22214497
solver,absent-4x4,18,3517194,3491805,22189734
solver,absent-4x4,19,3512762,3485550,22178098
solver,shared-4x4,10,3283210,3279928,21521101
solver,shared-4x4,11,3290910,3286933,21863560
solver,shared-4x4,12,3264026,3258066,21584627
solver,shared-4x4,13,3230997,3225179,21721378
solver,shared-4x4,14,3358744,3351162,21310250
solver,shared-4x4,15,3290493,3284621,21273368
solver,shared-4x4,16,3264143,3256399,21594337
solver,shared-4x4,17,3229611,3224269,22270981
solver,shared-4x4,18,3302259,3297545,22067126
solver,shared-4x4,19,3289635,3284713,21255784
solver,blocked-4x4,10,3377582,3406951,29527043
solver,blocked-4x4,11,3377799,3410484,29933444
solver,blocked-4x4,12,3382074,3407630,31590010
solver,blocked-4x4,13,3381326,3407906,30893134
solver,blocked-4x4,14,3412377,3441622,31050680
solver,blocked-4x4,15,3376307,3407358,33966723
solver,blocked-4x4,16,3379397,3407765,33157104
solver,blocked-4x4,17,3377303,3407657,30253817
solver,blocked-4x4,18,3379010,3408855,32870097
solver,blocked-4x4,19,3378873,3414841,26890622
solver,wide-4x4,10,3755437,3700475,24211377
solver,wide-4x4,11,3758606,3700780,24786664
solver,wide-4x4,12,3757335,3701165,25860267
solver,wide-4x4,13,3758176,3701114,24012958
solver,wide-4x4,14,3766108,3710718,24355778
solver,wide-4x4,15,3757857,3702341,24294611
solver,wide-4x4,16,3758619,3700481,24897770
solver,wide-4x4,17,3756827,3700648,24320834
solver,wide-4x4,18,3866448,3800096,23820917
solver,wide-4x4,19,3755616,3700234,24306485
solver,sparse-4x4,10,18996540,17573842,30660882
solver,sparse-4x4,11,18969323,17544889,29575652
solver,sparse-4x4,12,19041119,17644614,29825156
solver,sparse-4x4,13,18819687,17393717,28951044
solver,sparse-4x4,14,19260452,17858497,29900547
solver,sparse-4x4,15,18967380,17564873,28947905
solver,sparse-4x4,16,19077494,17637334,29540994
solver,sparse-4x4,17,18977778,17540668,29218157
solver,sparse-4x4,18,19021434,17569388,29903707
solver,sparse-4x4,19,18970974,17545726,31596764
solver,unknown-8x16,10,61959614,52334901,55422647
solver,unknown-8x16,11,66970228,56065128,53571566
solver,unknown-8x16,12,62028743,53695297,52380192
solver,unknown-8x16,13,61341632,51779363,50805946
solver,unknown-8x16,14,58842173,51508854,51922697
solver,unknown-8x16,15,65008926,55429137,52315530
solver,unknown-8x16,16,68214493,56715168,54141400
solver,unknown-8x16,17,61490408,52727617,53371492
solver,unknown-8x16,18,60703769,52277976,51103831
