instance,seed,baseline_instructions,treatment_instructions,ratio
callback-absent-32x16,10,1011109493,42553223,0.042085672515785585
callback-absent-32x16,11,1011080386,42526584,0.04206053701451192
callback-absent-32x16,12,1011051614,42499527,0.04203497270714015
callback-absent-32x16,13,1011022455,42472900,0.04200984833714697
callback-absent-32x16,14,1010994142,42445097,0.04198352417357528
callback-absent-32x16,15,1010964670,42419003,0.041958937101135296
callback-absent-32x16,16,1010788609,42243926,0.041793037262057235
callback-absent-32x16,17,1011369800,42796333,0.04231521744074225
callback-absent-32x16,18,1011340944,42769877,0.04229026546758696
callback-absent-32x16,19,1011311650,42742453,0.04226437320285987
callback-absent-8x8,10,6376969,1678508,0.26321407552710385
callback-absent-8x8,11,6375382,1676656,0.2629891040254529
callback-absent-8x8,12,6373278,1674971,0.26281153905415705
callback-absent-8x8,13,6371610,1673816,0.2626990666409275
callback-absent-8x8,14,6369947,1672285,0.2625273020324973
callback-absent-8x8,15,6368846,1670352,0.2622691771790368
callback-absent-8x8,16,6358061,1661071,0.2612543352446603
callback-absent-8x8,17,6378601,1680192,0.2634107384989279
callback-absent-8x8,18,6377108,1677845,0.26310437270311243
callback-absent-8x8,19,6374691,1677699,0.2631812271371271
callback-blocked-32x16,10,32218100,4130032,0.12818980635108837
callback-blocked-32x16,11,32217945,4130040,0.12819067137894735
callback-blocked-32x16,12,32217691,4129665,0.12818004244934872
callback-blocked-32x16,13,32217282,4129221,0.1281678882780987
callback-blocked-32x16,14,32217509,4128844,0.12815528351369437
callback-blocked-32x16,15,32216940,4128927,0.12816012321468148
callback-blocked-32x16,16,32217103,4128909,0.12815891608876193
callback-blocked-32x16,17,32219227,4130176,0.1281897917662643
callback-blocked-32x16,18,32219024,4130260,0.1281932065974438
callback-blocked-32x16,19,32218175,4130808,0.12821359372466007
callback-blocked-8x8,10,1423733,916082,0.6434366556088817
callback-blocked-8x8,11,1424758,916103,0.6429884934845076
callback-blocked-8x8,12,1424719,915407,0.6425175771503012
callback-blocked-8x8,13,1424133,916152,0.643305084567242
callback-blocked-8x8,14,1423796,916092,0.6434152083585007
callback-blocked-8x8,15,1423792,915902,0.6432835695101532
callback-blocked-8x8,16,1423797,915936,0.6433051902764229
callback-blocked-8x8,17,1423630,916082,0.6434832084179176
callback-blocked-8x8,18,1423758,915644,0.6431177208486274
callback-blocked-8x8,19,1423948,915343,0.6428205243449902
callback-present-32x16,10,2670283508,1084658349,0.40619595101060707
callback-present-32x16,11,2645207985,1061439889,0.40126897205022616
callback-present-32x16,12,2620133435,1038222220,0.3962478422401415
callback-present-32x16,13,2595057248,1015003577,0.39112955129689686
callback-present-32x16,14,2569983362,991785794,0.3859113676238656
callback-present-32x16,15,2544906823,968567077,0.3805903887114534
callback-present-32x16,16,2540912261,964594777,0.37962537778473887
callback-present-32x16,17,2895961799,1293621702,0.4466984690359861
callback-present-32x16,18,2870886783,1270403104,0.442512436060771
callback-present-32x16,19,2845812210,1247184843,0.4382526853379408
callback-present-8x8,10,12985676,7076141,0.5449189553166119
callback-present-8x8,11,12803815,6907113,0.5394574195269144
callback-present-8x8,12,12621511,6738113,0.5338594562885537
callback-present-8x8,13,12438729,6568975,0.5281066096061744
callback-present-8x8,14,12256241,6400396,0.522215253437004
callback-present-8x8,15,12074071,6231218,0.5160826037879022
callback-present-8x8,16,12004237,6162917,0.5133951453974126
callback-present-8x8,17,13168441,7245565,0.5502219283209
callback-present-8x8,18,12986249,7076408,0.5449154717424562
callback-present-8x8,19,12803845,6906770,0.539429366725386
callback-shared-32x16,10,35533837,5863377,0.1650082708489939
callback-shared-32x16,11,35478167,5811924,0.16381691872638177
callback-shared-32x16,12,35422970,5761502,0.16264875587789504
callback-shared-32x16,13,35366715,5709762,0.16144451074972613
callback-shared-32x16,14,35311664,5658148,0.16023453326923365
callback-shared-32x16,15,35256438,5606904,0.1590320610380436
callback-shared-32x16,16,35245151,5596019,0.1587741530742768
callback-shared-32x16,17,36032292,6324612,0.17552621964764273
callback-shared-32x16,18,35977114,6273431,0.17437282490196407
callback-shared-32x16,19,35921246,6221586,0.17320072917292456
callback-shared-8x8,10,1448925,890483,0.6145818451610677
callback-shared-8x8,11,1445676,887396,0.6138277179672347
callback-shared-8x8,12,1441984,883917,0.6129866905596734
callback-shared-8x8,13,1439031,879811,0.6113912764909164
callback-shared-8x8,14,1434764,877550,0.611633690279377
callback-shared-8x8,15,1431967,873489,0.6099924090429458
callback-shared-8x8,16,1429296,871471,0.6097204497878675
callback-shared-8x8,17,1452470,892931,0.6147672585320179
callback-shared-8x8,18,1449351,889731,0.6138823514800763
callback-shared-8x8,19,1445997,886878,0.6133332226830346
callback-sparse-32x16,10,773405019,29755715,0.03847365128102433
callback-sparse-32x16,11,773404860,29755439,0.03847330232706322
callback-sparse-32x16,12,773401534,29751576,0.03846847296271331
callback-sparse-32x16,13,773399076,29749667,0.03846612689772595
callback-sparse-32x16,14,773397376,29746451,0.03846205317355512
callback-sparse-32x16,15,773395958,29745658,0.03846109834465931
callback-sparse-32x16,16,773383958,29735762,0.038448899401660463
callback-sparse-32x16,17,773420537,29768828,0.03848983389485557
callback-sparse-32x16,18,773421792,29766950,0.03848734326844517
callback-sparse-32x16,19,773417351,29766027,0.03848637085981279
callback-sparse-8x8,10,19527443,1970846,0.10092698772696455
callback-sparse-8x8,11,19526831,1970066,0.10089020589157555
callback-sparse-8x8,12,19527425,1970529,0.10091084718031179
callback-sparse-8x8,13,19526481,1969963,0.10088673939764159
callback-sparse-8x8,14,19526170,1969138,0.1008460952659943
callback-sparse-8x8,15,19526333,1968537,0.1008144744842772
callback-sparse-8x8,16,19522862,1965948,0.10069978469345324
callback-sparse-8x8,17,19528626,1971504,0.10095456792505525
callback-sparse-8x8,18,19527748,1970409,0.10090303295597629
callback-sparse-8x8,19,19526738,1970371,0.10090630600973906
callback-unknown-32x16,10,33853127,3944167,0.11650820321561432
callback-unknown-32x16,11,33851756,3942220,0.11645540633106301
callback-unknown-32x16,12,33848793,3940573,0.11641694284342724
callback-unknown-32x16,13,33847847,3939267,0.11638161210076375
callback-unknown-32x16,14,33846106,3937080,0.11632298262021634
callback-unknown-32x16,15,33843666,3935041,0.1162711214559321
callback-unknown-32x16,16,33833072,3923793,0.11597507314736304
callback-unknown-32x16,17,33869726,3958921,0.11688671470209118
callback-unknown-32x16,18,33867481,3957345,0.11684792854833224
callback-unknown-32x16,19,33866381,3955736,0.11680421359459696
