case,arm,runs,solved,instructions_median,instructions_min,instructions_max,rss_kib_median,backend_terms
alias-16,cvc5-array-total,10,10,294137591.5,292589252,295163056,23340.0,
alias-16,cvc5-sl-total,10,10,300956087.0,299362404,302084031,24702.0,
alias-16,nixie-encode,10,10,6545663.0,6544549,6546396,22062.0,614
alias-16,nixie-solve,10,10,2585048.0,2584410,2585215,22124.0,614
alias-16,nixie-total,10,10,251713265.5,251609305,251734620,22122.0,614
alias-16,z3-array-total,10,10,257617037.0,257484673,257634514,32074.0,
alias-2,cvc5-array-total,10,10,270376095.5,268830813,271530679,22906.0,
alias-2,cvc5-sl-total,10,10,271957541.0,270378370,273038616,23544.0,
alias-2,nixie-encode,10,10,598141.5,596454,599709,22096.0,26
alias-2,nixie-solve,10,10,194887.0,194260,195216,22040.0,26
alias-2,nixie-total,10,10,242796888.0,242757979,242867229,22086.0,26
alias-2,z3-array-total,10,10,249223068.5,249136943,249285126,31960.0,
alias-4,cvc5-array-total,10,10,272239218.5,270600643,273254006,22988.0,
alias-4,cvc5-sl-total,10,10,274705713.5,273099164,275725379,23742.0,
alias-4,nixie-total,10,10,243505040.0,243424808,243555338,22042.0,62
alias-4,z3-array-total,10,10,249982018.5,249856817,249994614,31906.0,
alias-8,cvc5-array-total,10,10,277322556.0,275592713,278409173,22984.0,
alias-8,cvc5-sl-total,10,10,281501983.5,279940666,282570634,23902.0,
alias-8,nixie-total,10,10,245470799.0,245394994,245496547,22044.0,182
alias-8,z3-array-total,10,10,251808987.0,251750666,251879204,31834.0,
allocate-16,cvc5-array-total,10,10,561105832.0,559550923,562256555,29378.0,
allocate-16,cvc5-sl-total,10,10,3705628083.0,3704056084,3706652979,35900.0,
allocate-16,nixie-encode,10,10,6516614.0,6516226,6519551,22238.0,614
allocate-16,nixie-solve,10,10,183514650.0,134410245,1513705290,22120.0,614
allocate-16,nixie-total,10,10,433476923.0,384457747,1753185071,22252.0,614
allocate-16,nixie-validate,10,10,21866.0,21631,21991,22154.0,614
allocate-16,z3-array-total,10,10,3077127325.0,2079362021,4049536366,40734.0,
allocate-2,cvc5-array-total,10,10,275869426.0,274219913,276861658,24100.0,
allocate-2,cvc5-sl-total,10,10,280460337.5,278794739,281571297,24112.0,
allocate-2,nixie-encode,10,10,565057.0,563794,566988,22042.0,26
allocate-2,nixie-solve,10,10,1503671.0,1498800,1640003,22062.0,26
allocate-2,nixie-total,10,10,244070675.0,244006318,244182609,22126.0,26
allocate-2,nixie-validate,10,10,2398.0,2398,2653,22084.0,26
allocate-2,z3-array-total,10,10,253430077.0,253359440,253796830,35958.0,
allocate-4,cvc5-array-total,10,10,287826269.0,286246807,288802420,24244.0,
allocate-4,cvc5-sl-total,10,10,322523064.0,320880583,323617145,24944.0,
allocate-4,nixie-total,10,10,247834369.5,247617690,248982640,22106.0,62
allocate-4,z3-array-total,10,10,264854469.5,263016356,268782927,36142.0,
allocate-8,cvc5-array-total,10,10,335328262.5,333763575,336395823,25400.0,
allocate-8,cvc5-sl-total,10,10,623307081.5,621720975,624332879,27328.0,
allocate-8,nixie-total,10,10,282585436.5,271364736,323634975,22102.0,182
allocate-8,z3-array-total,10,10,448113493.0,385319379,484327476,37088.0,
negative-16,cvc5-array-total,10,10,375512747.5,373811736,376616198,26690.0,
negative-16,cvc5-sl-total,10,0,,,,,
negative-16,nixie-encode,10,0,,,,,
negative-16,nixie-solve,10,0,,,,,
negative-16,nixie-total,10,0,,,,,
negative-16,nixie-validate,10,0,,,,,
negative-16,z3-array-total,10,10,302947983.5,302801083,302967037,36018.0,
negative-2,cvc5-array-total,10,10,283228379.0,281665744,284219842,24316.0,
negative-2,cvc5-sl-total,10,10,835904523.0,834215127,836879975,28198.0,
negative-2,nixie-encode,10,10,2236736.0,2235975,2238154,22078.0,146
negative-2,nixie-solve,10,10,10580647.0,4745659,95218260,22046.0,146
negative-2,nixie-total,10,10,255224212.5,249138353,339738858,22046.0,146
negative-2,nixie-validate,10,10,3813.0,3558,5250,22118.0,146
negative-2,z3-array-total,10,10,257221626.5,257133605,257294116,35444.0,
negative-4,cvc5-array-total,10,10,296330198.5,294779982,297468479,24632.0,
negative-4,cvc5-sl-total,10,10,5794112725.0,5792506549,5795187544,35734.0,
negative-4,nixie-total,10,10,813850305.0,276733837,5134483387,24250.0,477
negative-4,z3-array-total,10,10,263315140.0,263198667,263510740,35574.0,
negative-8,cvc5-array-total,10,10,322765532.5,321167503,323709903,25292.0,
negative-8,cvc5-sl-total,10,0,,,,,
negative-8,nixie-total,10,0,,,,,
negative-8,z3-array-total,10,10,275962268.0,275854261,275992563,35658.0,
permutation-16,cvc5-array-total,10,10,839240313.5,837665602,840352541,30784.0,
permutation-16,cvc5-sl-total,10,10,27219961365.5,27218291385,27221054293,46084.0,
permutation-16,nixie-encode,10,10,13512510.5,13511202,13513655,22102.0,622
permutation-16,nixie-solve,10,10,4735062.0,4734528,4735624,22118.0,622
permutation-16,nixie-total,10,10,261031013.0,260987082,261099305,22120.0,622
permutation-16,z3-array-total,10,0,,,,,
permutation-2,cvc5-array-total,10,10,279741740.5,278154175,280698412,23742.0,
permutation-2,cvc5-sl-total,10,10,286364638.5,284769487,287335219,24328.0,
permutation-2,nixie-encode,10,10,965172.5,963390,1101020,22066.0,34
permutation-2,nixie-solve,10,10,318383.5,317895,455320,22040.0,34
permutation-2,nixie-total,10,10,243244249.0,243145323,243268254,22118.0,34
permutation-2,z3-array-total,10,10,253156771.5,252659875,253404664,35364.0,
permutation-4,cvc5-array-total,10,10,300310629.0,298585861,301421956,24228.0,
permutation-4,cvc5-sl-total,10,10,466318472.5,464675626,467413834,25892.0,
permutation-4,nixie-total,10,10,244469339.5,244417058,244534759,22078.0,70
