seed_set,instance,n,baseline_min,baseline_median,baseline_max,treatment_min,treatment_median,treatment_max,treatment_over_baseline
initial,budget-f256,10,3526381896,3526402216.0,3526405444,1356686537,1356720801.5,1356726440,0.3847318001046397
initial,certified-f256,10,28194442,30265365.0,32804641,9444924,10236332.0,11204936,0.3381021529033326
initial,control-prime,10,2975166,3012865.0,3019543,2981550,3024860.5,3030770,1.0039928336928965
initial,control-wide,10,6941207,6981924.5,6983089,6946614,6947812.5,6950134,0.9957305790043139
initial,no-root-f256,10,4314316,4317223.0,4355477,3522593,3526411.5,3567280,0.8171203543554227
initial,pair-f16,10,4015061,4156551.5,4341303,3679785,3790226.0,3922638,0.9116217617824109
initial,pair-f256,10,371944763,416041127.0,477022039,216116580,241595857.0,276828442,0.580719447192032
initial,shared-f256,10,28114283,30160814.0,32697648,9354142,10153512.0,11126862,0.33656550946887653
initial,square-f16,10,2718854,2755370.0,2770364,2697734,2723220.5,2748593,0.9903979873928362
initial,square-f256,10,4070982,4257085.0,4494507,3442425,3564581.5,3711480,0.8394249663209253
initial,square-f4,10,2657714,2696083.5,2697179,2656891,2658045.5,2660477,0.9887535674534629
initial,square-f8-a,10,2673606,2680769.0,2721647,2671677,2675846.5,2715943,0.9957429627975465
initial,square-f8-b,10,2673787,2696313.5,2719110,2671247,2676450.0,2716107,0.9974889555679147
fresh,budget-f256,10,3526398272,3526404020.0,3526407002,1356677876,1356722246.0,1356724771,0.38473128361318165
fresh,certified-f256,10,28123444,30162227.0,32724563,9410037,10201314.5,11165613,0.3379697958132433
fresh,control-prime,10,2981430,2990623.0,3030861,2992753,3000932.5,3043232,1.0026076425310704
fresh,control-wide,10,6941325,6944101.5,6982268,6948217,6951021.0,6992219,1.0010521769496177
fresh,no-root-f256,10,4317387,4356310.0,4359156,3523760,3525456.0,3565063,0.8116620498867823
fresh,pair-f16,10,4024865,4235685.0,4341337,3715323,3806962.5,3921825,0.9069982461799133
fresh,pair-f256,10,379716108,432256557.0,484804003,220565413,250987246.0,281327025,0.5806267362352795
fresh,shared-f256,10,28001415,30100140.5,32649981,9329583,10122077.5,11101066,0.3363023982568684
fresh,square-f16,10,2709596,2721351.0,2768449,2697646,2704499.5,2746613,0.9929615341129546
fresh,square-f256,10,4024618,4229557.5,4447614,3469029,3541432.0,3708478,0.8420723414607765
fresh,square-f4,10,2695152,2695973.0,2698175,2659898,2661320.5,2699256,0.992076895108046
fresh,square-f8-a,10,2675475,2712523.5,2718561,2671043,2674484.5,2678501,0.9890035478697696
fresh,square-f8-b,10,2675240,2713737.0,2721111,2670840,2675594.0,2710270,0.9902987080644501
