seed_set,instance,n,baseline_min,baseline_median,baseline_max,treatment_min,treatment_median,treatment_max,treatment_over_baseline
initial,budget-f256,10,3526381896,3526402216.0,3526405444,1356711721,1356718666.5,1356721245,0.38473178395249696
initial,certified-f256,10,28194442,30265365.0,32804641,9430041,10231647.5,11201303,0.3379188609476554
initial,control-prime,10,2975166,3012865.0,3019543,2973576,2980022.0,2985396,0.9913395780715202
initial,control-wide,10,6941207,6981924.5,6983089,6946054,6984279.5,6986385,0.9999167680697557
initial,no-root-f256,10,4314316,4317223.0,4355477,3559628,3561435.5,3563200,0.8236017650484523
initial,pair-f16,10,4015061,4156551.5,4341303,3711196,3786574.5,3918846,0.9125001314283915
initial,pair-f256,10,371944763,416041127.0,477022039,216120812,241596866.0,276831027,0.5807220421594645
initial,shared-f256,10,28114283,30160814.0,32697648,9358069,10146874.0,11126900,0.33649665056648914
initial,square-f16,10,2718854,2755370.0,2770364,2732648,2739837.0,2745449,0.9962079284408667
initial,square-f256,10,4070982,4257085.0,4494507,3476683,3580282.0,3679910,0.8414595402966241
initial,square-f4,10,2657714,2696083.5,2697179,2655423,2694803.5,2696762,0.9995364967637635
initial,square-f8-a,10,2673606,2680769.0,2721647,2671046,2710450.5,2713092,1.0048945230502122
initial,square-f8-b,10,2673787,2696313.5,2719110,2672869,2707793.5,2711767,1.001954466542482
fresh,budget-f256,10,3526398272,3526404020.0,3526407002,1356712771,1356716469.0,1356720610,0.38473085687925224
fresh,certified-f256,10,28123444,30162227.0,32724563,9411201,10193875.0,11171133,0.3379362242110738
fresh,control-prime,10,2981430,2990623.0,3030861,3025116,3030204.0,3037135,1.0095118656204862
fresh,control-wide,10,6941325,6944101.5,6982268,6984381,6985681.5,6987603,1.0039741971635665
fresh,no-root-f256,10,4317387,4356310.0,4359156,3559624,3560787.5,3562284,0.8180921256822019
fresh,pair-f16,10,4024865,4235685.0,4341337,3710946,3843041.0,3919317,0.9079233710508704
fresh,pair-f256,10,379716108,432256557.0,484804003,220609276,250965194.0,281322152,0.5806195791099834
fresh,shared-f256,10,28001415,30100140.5,32649981,9326745,10118902.5,11095675,0.3362128956843272
fresh,square-f16,10,2709596,2721351.0,2768449,2706623,2736997.0,2745908,1.0017493772221338
fresh,square-f256,10,4024618,4229557.5,4447614,3474803,3576268.0,3702338,0.8475361324980265
fresh,square-f4,10,2695152,2695973.0,2698175,2694062,2694967.5,2697866,0.9996556671987216
fresh,square-f8-a,10,2675475,2712523.5,2718561,2706513,2709751.5,2714837,1.0022709478001173
fresh,square-f8-b,10,2675240,2713737.0,2721111,2675141,2708042.0,2713175,1.0003578792344023
