seed_set,instance,n,baseline_min,baseline_median,baseline_max,treatment_min,treatment_median,treatment_max,treatment_over_baseline
initial,budget-f256,10,3526381896,3526402216.0,3526405444,1356676033,1356709881.5,1356714649,0.38472869753628647
initial,certified-f256,10,28194442,30265365.0,32804641,9437116,10226865.5,11192174,0.3378051471112951
initial,control-prime,10,2975166,3012865.0,3019543,2969047,2980624.5,3017095,0.9950104276023053
initial,control-wide,10,6941207,6981924.5,6983089,6943590,6981211.0,6984944,0.9995540554311766
initial,no-root-f256,10,4314316,4317223.0,4355477,3520737,3558626.5,3560751,0.822064766083558
initial,pair-f16,10,4015061,4156551.5,4341303,3667022,3743210.5,3915220,0.9047014186725322
initial,pair-f256,10,371944763,416041127.0,477022039,216114753,241591671.5,276827248,0.5807107929446184
initial,shared-f256,10,28114283,30160814.0,32697648,9358477,10148561.5,11117783,0.3364038818725544
initial,square-f16,10,2718854,2755370.0,2770364,2690976,2737738.0,2744607,0.9936802778675935
initial,square-f256,10,4070982,4257085.0,4494507,3434881,3543571.5,3666074,0.8370186039446343
initial,square-f4,10,2657714,2696083.5,2697179,2653132,2656322.0,2694280,0.9930890755726918
initial,square-f8-a,10,2673606,2680769.0,2721647,2665813,2688074.5,2710755,0.9978359674647032
initial,square-f8-b,10,2673787,2696313.5,2719110,2665789,2706036.0,2709745,0.9995728744320659
fresh,budget-f256,10,3526398272,3526404020.0,3526407002,1356664141,1356710448.0,1356713596,0.3847279457631259
fresh,certified-f256,10,28123444,30162227.0,32724563,9407480,10196466.0,11167866,0.3379016045425935
fresh,control-prime,10,2981430,2990623.0,3030861,2983729,3023628.5,3033046,1.004280285567678
fresh,control-wide,10,6941325,6944101.5,6982268,6941133,6978473.0,6985176,1.0011604776314955
fresh,no-root-f256,10,4317387,4356310.0,4359156,3517182,3518908.5,3559045,0.811006606547538
fresh,pair-f16,10,4024865,4235685.0,4341337,3667152,3818513.0,3876981,0.9029943636562555
fresh,pair-f256,10,379716108,432256557.0,484804003,220604570,250980252.5,281314646,0.5806241140131118
fresh,shared-f256,10,28001415,30100140.5,32649981,9317030,10106600.5,11085764,0.33596177596672716
fresh,square-f16,10,2709596,2721351.0,2768449,2690166,2696747.5,2736853,0.990355802973656
fresh,square-f256,10,4024618,4229557.5,4447614,3460317,3548282.5,3702192,0.8414730462024195
fresh,square-f4,10,2695152,2695973.0,2698175,2653078,2655324.0,2695720,0.9889865273246945
fresh,square-f8-a,10,2675475,2712523.5,2718561,2665049,2670696.0,2710227,0.9914184131221222
fresh,square-f8-b,10,2675240,2713737.0,2721111,2665565,2669512.0,2708118,0.9905845659636889
