instance,seeds,reference_reused_from,nixie_min,nixie_median,nixie_max,z3_min,z3_median,z3_max,nixie_over_z3_solved_ratio,nixie_verdicts,z3_verdicts
budget-f256,20,,1356677876,1356721300.0,1356726440,70099732,70414037.5,70712580,,{'unknown': 20},{'sat': 20}
certified-f256,20,shared-f256,9410037,10218576.0,11204936,43783900,43886371.5,44047102,0.2329805337322916,{'sat': 20},{'sat': 20}
control-prime,20,,2981550,3021493.0,3043232,15957900,15959522.0,15961071,0.18884839971076878,{'sat': 20},{'sat': 20}
control-wide,20,,6946614,6948653.0,6992219,37198604,37241795.0,37285740,0.1867915176531413,{'sat': 20},{'sat': 20}
no-root-f256,20,,3522593,3525778.5,3567280,17442516,17551989.0,17579803,0.20150999805834283,{'unsat': 20},{'unsat': 20}
pair-f16,20,,3679785,3799459.5,3922638,11334145,11387973.5,11444244,0.33427156201198316,{'sat': 20},{'sat': 20}
pair-f256,20,,216116580,243844735.5,281327025,18590787,18719595.0,18796197,13.136057723285582,{'sat': 20},{'sat': 20}
shared-f256,20,,9329583,10136853.5,11126862,43783900,43886371.5,44047102,0.23118169437382405,{'sat': 20},{'sat': 20}
square-f16,20,,2697646,2709002.5,2748593,10997060,11027863.5,11034466,0.24656581971499375,{'sat': 20},{'sat': 20}
square-f256,20,,3442425,3557369.5,3711480,17521177,17599119.5,17638142,0.20250941578081552,{'sat': 20},{'sat': 20}
square-f4,20,,2656891,2659986.0,2699256,10531171,10531245.5,10531462,0.2532153561394506,{'sat': 20},{'sat': 20}
square-f8-a,20,,2671043,2675070.0,2715943,10735672,10737422.0,10739187,0.2494342614196679,{'sat': 20},{'sat': 20}
square-f8-b,20,,2670840,2676450.0,2716107,10743367,10760946.5,10778509,0.24943103293472735,{'sat': 20},{'sat': 20}
