instance,seeds,reference_reused_from,nixie_min,nixie_median,nixie_max,z3_min,z3_median,z3_max,nixie_over_z3_solved_ratio,nixie_verdicts,z3_verdicts
budget-f256,20,,1356711721,1356717969.0,1356721245,70099732,70414037.5,70712580,,{'unknown': 20},{'sat': 20}
certified-f256,20,shared-f256,9411201,10212116.0,11201303,43783900,43886371.5,44047102,0.23290580496713273,{'sat': 20},{'sat': 20}
control-prime,20,,2973576,3005256.0,3037135,15957900,15959522.0,15961071,0.1882996157285338,{'sat': 20},{'sat': 20}
control-wide,20,,6946054,6985233.0,6987603,37198604,37241795.0,37285740,0.18745674536458207,{'sat': 20},{'sat': 20}
no-root-f256,20,,3559624,3561279.0,3563200,17442516,17551989.0,17579803,0.20310738034781,{'unsat': 20},{'unsat': 20}
pair-f16,20,,3710946,3814397.5,3919317,11334145,11387973.5,11444244,0.3346030772901531,{'sat': 20},{'sat': 20}
pair-f256,20,,216120812,243841182.5,281322152,18590787,18719595.0,18796197,13.136006111169575,{'sat': 20},{'sat': 20}
shared-f256,20,,9326745,10132115.5,11126900,43783900,43886371.5,44047102,0.2311272821792367,{'sat': 20},{'sat': 20}
square-f16,20,,2706623,2739222.5,2745908,10997060,11027863.5,11034466,0.24837982835646893,{'sat': 20},{'sat': 20}
square-f256,20,,3474803,3577865.5,3702338,17521177,17599119.5,17638142,0.20341140936776825,{'sat': 20},{'sat': 20}
square-f4,20,,2655423,2694946.0,2697866,10531171,10531245.5,10531462,0.25556294540522495,{'sat': 20},{'sat': 20}
square-f8-a,20,,2671046,2710416.5,2714837,10735672,10737422.0,10739187,0.2522530170594813,{'sat': 20},{'sat': 20}
square-f8-b,20,,2672869,2707793.5,2713175,10743367,10760946.5,10778509,0.25125517903363753,{'sat': 20},{'sat': 20}
