instance,seeds,reference_reused_from,nixie_min,nixie_median,nixie_max,z3_min,z3_median,z3_max,nixie_over_z3_solved_ratio,nixie_verdicts,z3_verdicts
budget-f256,20,,1356722493,1356724049.0,1356727103,70099732,70414037.5,70712580,,{'unknown': 20},{'sat': 20}
certified-f256,20,shared-f256,9412639,10213102.0,11200501,43783900,43886371.5,44047102,0.2329090819681011,{'sat': 20},{'sat': 20}
control-prime,20,,2980792,2993079.0,3034804,15957900,15959522.0,15961071,0.1876074791143402,{'sat': 20},{'sat': 20}
control-wide,20,,6946497,6948137.0,6955003,37198604,37241795.0,37285740,0.18658709258995834,{'sat': 20},{'sat': 20}
no-root-f256,20,,3524509,3525379.5,3529720,17442516,17551989.0,17579803,0.20107888162891133,{'unsat': 20},{'unsat': 20}
pair-f16,20,,3675377,3778877.5,3884121,11334145,11387973.5,11444244,0.3319309201281389,{'sat': 20},{'sat': 20}
pair-f256,20,,216154689,243863014.0,281324812,18590787,18719595.0,18796197,13.137093512851143,{'sat': 20},{'sat': 20}
shared-f256,20,,9323320,10128721.0,11122179,43783900,43886371.5,44047102,0.2310533904327346,{'sat': 20},{'sat': 20}
square-f16,20,,2695654,2702007.0,2709834,10997060,11027863.5,11034466,0.24521118454424914,{'sat': 20},{'sat': 20}
square-f256,20,,3437335,3542672.5,3671211,17521177,17599119.5,17638142,0.2014414913324835,{'sat': 20},{'sat': 20}
square-f4,20,,2656093,2659107.5,2661392,10531171,10531245.5,10531462,0.2524650786224608,{'sat': 20},{'sat': 20}
square-f8-a,20,,2670470,2674953.0,2716261,10735672,10737422.0,10739187,0.24933719077476243,{'sat': 20},{'sat': 20}
square-f8-b,20,,2667904,2673503.0,2717059,10743367,10760946.5,10778509,0.24860342861196796,{'sat': 20},{'sat': 20}
