instance,seeds,reference_reused_from,nixie_min,nixie_median,nixie_max,z3_min,z3_median,z3_max,nixie_over_z3_solved_ratio,nixie_verdicts,z3_verdicts
budget-f256,20,,1356664141,1356710291.5,1356714649,70099732,70414037.5,70712580,,{'unknown': 20},{'sat': 20}
certified-f256,20,shared-f256,9407480,10210127.5,11192174,43783900,43886371.5,44047102,0.23285468559753514,{'sat': 20},{'sat': 20}
control-prime,20,,2969047,3014732.5,3033046,15957900,15959522.0,15961071,0.188158473878376,{'sat': 20},{'sat': 20}
control-wide,20,,6941133,6981147.5,6985176,37198604,37241795.0,37285740,0.18715992495613235,{'sat': 20},{'sat': 20}
no-root-f256,20,,3517182,3557375.0,3560751,17442516,17551989.0,17579803,0.20203712389186868,{'unsat': 20},{'unsat': 20}
pair-f16,20,,3667022,3791172.5,3915220,11334145,11387973.5,11444244,0.3322645596818039,{'sat': 20},{'sat': 20}
pair-f256,20,,216114753,243837137.5,281314646,18590787,18719595.0,18796197,13.135930179717118,{'sat': 20},{'sat': 20}
shared-f256,20,,9317030,10128035.5,11117783,43783900,43886371.5,44047102,0.23100910076779455,{'sat': 20},{'sat': 20}
square-f16,20,,2690166,2730373.0,2744607,10997060,11027863.5,11034466,0.2466497874905068,{'sat': 20},{'sat': 20}
square-f256,20,,3434881,3543571.5,3702192,17521177,17599119.5,17638142,0.20214697115604274,{'sat': 20},{'sat': 20}
square-f4,20,,2653078,2655873.0,2695720,10531171,10531245.5,10531462,0.2533743399252822,{'sat': 20},{'sat': 20}
square-f8-a,20,,2665049,2671092.5,2710755,10735672,10737422.0,10739187,0.25000093109154786,{'sat': 20},{'sat': 20}
square-f8-b,20,,2665565,2687225.0,2709745,10743367,10760946.5,10778509,0.2497274834151765,{'sat': 20},{'sat': 20}
