case,arm,runs,solved,instructions_median,instructions_min,instructions_max,rss_kib_median,backend_terms,definition_assertions,postcheck_terms,comparisons
alias-16,baseline-total,11,11,214839361,214754534,214863186,20548,69,1,613,
alias-16,reduced-total,11,11,214870531,214773285,214915363,20528,69,1,613,0
alias-16,redundant-total,11,11,214786960,214763367,214877425,20536,69,1,613,0
alias-2,baseline-total,11,11,205115662,205010153,205139359,20524,13,1,25,
alias-2,reduced-total,11,11,205132379,205039855,205228022,20548,13,1,25,0
alias-2,redundant-total,11,11,205063640,205019351,205157346,20524,13,1,25,0
alias-4,baseline-total,11,11,205795545,205748863,205900957,20548,21,1,61,
alias-4,reduced-total,11,11,205811761,205773943,205880609,20548,21,1,61,0
alias-4,redundant-total,11,11,205810835,205749500,205886914,20600,21,1,61,0
alias-8,baseline-total,11,11,207998726,207894540,208022301,20564,37,1,181,
alias-8,reduced-total,11,11,208020278,207946215,208040232,20524,37,1,181,0
alias-8,redundant-total,11,11,208019946,207918149,208032907,20532,37,1,181,0
allocate-16,baseline-total,11,11,356609020,300922330,1547445262,20536,68,1,613,
allocate-16,reduced-total,11,11,356622178,301023006,1547422959,20520,68,1,613,0
allocate-16,redundant-total,11,11,356731032,300958825,1547479425,20524,68,1,613,0
allocate-2,baseline-total,11,11,206204272,206097066,206296083,20532,12,1,25,
allocate-2,reduced-total,11,11,206217283,206101464,206301135,20544,12,1,25,0
allocate-2,redundant-total,11,11,206223234,206161524,206344361,20532,12,1,25,0
allocate-4,baseline-total,11,11,209319155,209068758,210857606,20540,20,1,61,
allocate-4,reduced-total,11,11,209344873,209193089,211068086,20512,20,1,61,0
allocate-4,redundant-total,11,11,209333365,209128269,211060978,20544,20,1,61,0
allocate-8,baseline-total,11,11,239002050,228221821,270736187,20512,36,1,181,
allocate-8,reduced-total,11,11,238946768,228332798,270784370,20536,36,1,181,0
allocate-8,redundant-total,11,11,239006913,228236352,270783895,20540,36,1,181,0
negative-16,baseline-total,11,11,209153518,208202983,209256810,20532,99,0,99,
negative-16,reduced-total,11,11,209168926,208287448,209294474,20524,99,0,99,0
negative-16,redundant-total,11,11,209220106,208491773,209255335,20520,99,0,99,0
negative-2,baseline-total,11,11,205046370,204925864,205156123,20596,15,0,15,
negative-2,reduced-total,11,11,205071530,204834047,205175467,20556,15,0,15,0
negative-2,redundant-total,11,11,205165288,204872845,205191616,20520,15,0,15,0
negative-4,baseline-total,11,11,205660181,205358710,205742686,20524,27,0,27,
negative-4,reduced-total,11,11,205679951,205319423,205843680,20528,27,0,27,0
negative-4,redundant-total,11,11,205717569,205319701,205783009,20600,27,0,27,0
negative-8,baseline-total,11,11,206844232,206316643,206913964,20540,51,0,51,
negative-8,reduced-total,11,11,206906086,206367862,207010068,20528,51,0,51,0
negative-8,redundant-total,11,11,206831925,206383875,206921069,20524,51,0,51,0
permutation-16,baseline-total,11,11,218435797,218370543,218529556,20556,70,2,617,
permutation-16,reduced-total,11,11,218430171,218402316,218544241,20608,70,2,617,1
permutation-16,redundant-total,11,11,218437108,218381103,218512696,20636,70,2,617,1
permutation-2,baseline-total,11,11,205299714,205221155,205351447,20552,14,2,29,
permutation-2,reduced-total,11,11,205291164,205250170,205362356,20540,14,2,29,1
permutation-2,redundant-total,11,11,205327363,205237253,205355251,20608,14,2,29,1
permutation-4,baseline-total,11,11,206213884,206158961,206283857,20560,22,2,65,
permutation-4,reduced-total,11,11,206287905,206183669,206330835,20536,22,2,65,1
permutation-4,redundant-total,11,11,206218622,206178112,206334485,20620,22,2,65,1
permutation-8,baseline-total,11,11,209029928,208989647,209142553,20528,38,2,185,
permutation-8,reduced-total,11,11,209113280,209010002,209158345,20600,38,2,185,1
permutation-8,redundant-total,11,11,209114218,209019264,209157300,20520,38,2,185,1
unasserted_views-16,baseline-total,11,11,1690527816,1639771860,1873323240,29164,229,256,3060,
unasserted_views-16,reduced-total,11,11,229649681,229164560,230368250,20908,229,16,840,15
unasserted_views-16,redundant-total,11,11,244582280,244164108,245283578,25064,229,226,2730,120
unasserted_views-32,baseline-total,11,11,6440440777,6327874003,6717923866,43448,453,1024,10724,
unasserted_views-32,reduced-total,11,11,255449101,252676548,256103844,25104,453,32,1672,31
unasserted_views-32,redundant-total,11,11,320324780,320167295,323078265,29188,453,962,10042,496
unasserted_views-64,baseline-total,11,11,27424372542,27033938994,28693372061,54144,901,4096,39876,
unasserted_views-64,reduced-total,11,11,310722043,305929141,314006936,31200,901,64,3336,63
