case,arm,runs,solved,instructions_median,instructions_min,instructions_max,rss_kib_median,backend_terms,definition_assertions,postcheck_terms
alias-16,baseline-total,11,11,251764212,251690737,251820356,22072,614,,
alias-16,identity-total,11,11,252613797,252537460,252638293,22028,69,1,614
alias-16,specialized-total,11,11,252552402,252412609,252560942,22064,69,1,613
alias-2,baseline-total,11,11,242823698,242768079,242902918,22036,26,,
alias-2,identity-total,11,11,242816233,242674240,242868490,22096,13,1,26
alias-2,specialized-total,11,11,242785214,242684888,242877351,22032,13,1,25
alias-4,baseline-total,11,11,243576856,243459901,243623230,22028,62,,
alias-4,identity-total,11,11,243535475,243436353,243640350,22036,21,1,62
alias-4,specialized-total,11,11,243445094,243385171,243530494,22036,21,1,61
alias-8,baseline-total,11,11,245537959,245437423,245627641,22032,182,,
alias-8,identity-total,11,11,245680627,245578884,245767397,22036,37,1,182
alias-8,specialized-total,11,11,245646682,245532091,245756207,22092,37,1,181
allocate-16,baseline-total,11,11,407460488,358329369,1745644693,22172,614,,
allocate-16,identity-total,11,11,409088698,359825117,1749972042,22120,68,1,614
allocate-16,specialized-total,11,11,404960485,342220878,1749566485,22144,68,1,613
allocate-2,baseline-total,11,11,244024993,243908551,244092713,22096,26,,
allocate-2,identity-total,11,11,243970397,243847362,243982059,22052,12,1,26
allocate-2,specialized-total,11,11,243933926,243810653,243967892,22096,12,1,25
allocate-4,baseline-total,11,11,247186203,246959756,248106715,22036,62,,
allocate-4,identity-total,11,11,247232804,246972184,248115608,22092,20,1,62
allocate-4,specialized-total,11,11,247194099,247037472,248187344,22024,20,1,61
allocate-8,baseline-total,11,11,274638148,266943797,312724307,22032,182,,
allocate-8,identity-total,11,11,275283215,267016378,313102570,22032,36,1,182
allocate-8,specialized-total,11,11,275018308,267062116,313216731,22028,36,1,181
negative-16,baseline-total,11,0,,,,,,,
negative-16,identity-total,11,0,,,,,,,
negative-16,specialized-total,11,11,245972702,245829742,246931893,22116,99,0,99
negative-2,baseline-total,11,11,253454913,248859157,322820220,22028,146,,
negative-2,identity-total,11,11,253649781,249046162,390445415,22080,15,4,178
negative-2,specialized-total,11,11,242605358,242521673,242646742,22044,15,0,15
negative-4,baseline-total,11,11,642841609,274339936,4503281321,23320,477,,
negative-4,identity-total,11,11,388242267,275404430,5948950828,23476,27,16,669
negative-4,specialized-total,11,11,243112098,242978013,243347533,22028,27,0,27
negative-8,baseline-total,11,0,,,,,,,
negative-8,identity-total,11,0,,,,,,,
negative-8,specialized-total,11,11,244063951,243946579,244591145,22080,51,0,51
permutation-16,baseline-total,11,11,261073227,260980597,261098680,22028,622,,
permutation-16,identity-total,11,11,261975642,261873518,262005114,22028,70,4,622
permutation-16,specialized-total,11,11,256179600,256085110,256215633,22032,70,2,617
permutation-2,baseline-total,11,11,243358320,243292842,243388108,22032,34,,
permutation-2,identity-total,11,11,243350220,243249001,243407760,22080,14,4,34
permutation-2,specialized-total,11,11,242905943,242864101,243025138,22116,14,2,29
permutation-4,baseline-total,11,11,244629782,244546466,244651770,22080,70,,
permutation-4,identity-total,11,11,244674076,244538014,244765856,22080,22,4,70
permutation-4,specialized-total,11,11,243868070,243809245,243987631,22032,22,2,65
permutation-8,baseline-total,11,11,248299399,248199624,248314927,22036,190,,
permutation-8,identity-total,11,11,248523838,248435398,248562495,22032,38,4,190
permutation-8,specialized-total,11,11,246741229,246622347,246774763,22092,38,2,185
values-16,baseline-total,11,11,255284355,255187268,255306522,22084,620,,
values-16,identity-total,11,11,256050141,255918151,256075740,22032,69,4,620
values-16,specialized-total,11,11,251797044,251704596,251809137,22096,69,4,614
values-2,baseline-total,11,11,243204323,243097558,243237742,22036,32,,
values-2,identity-total,11,11,243069537,242989693,243150594,22028,13,4,32
values-2,specialized-total,11,11,242741422,242623173,242836014,22052,13,4,26
values-4,baseline-total,11,11,244072806,244007396,244121294,22036,68,,
values-4,identity-total,11,11,244049630,243922718,244100276,22068,21,4,68
values-4,specialized-total,11,11,243393305,243307172,243473954,22112,21,4,62
values-8,baseline-total,11,11,246688295,246590376,246728486,22032,188,,
values-8,identity-total,11,11,246807455,246677237,246889350,22096,37,4,188
values-8,specialized-total,11,11,245393817,245263870,245439469,22080,37,4,182
