case,arm,solved,total,instructions_min,instructions_median,instructions_max,definitions_0_last_median,comparisons_0_last_median,optimization_0_last_median,optimization_1_last_median,optimization_2_last_median,optimization_3_last_median
allocate-4,baseline,1,1,230736739,230736739,230736739,1,0,,,,
allocate-4,all,1,1,230781370,230781370,230781370,1,0,1,0,0,0
allocate-4,eager,1,1,230823102,230823102,230823102,1,0,1,0,0,0
allocate-16,baseline,1,1,411032329,411032329,411032329,1,0,,,,
allocate-16,all,1,1,411084040,411084040,411084040,1,0,1,0,0,0
allocate-16,eager,1,1,410659929,410659929,410659929,1,0,1,0,0,0
alias-4,baseline,1,1,227134415,227134415,227134415,1,0,,,,
alias-4,all,1,1,226316386,226316386,226316386,1,0,1,0,1,0
alias-4,eager,1,1,226294345,226294345,226294345,1,0,1,0,1,0
alias-16,baseline,1,1,236240799,236240799,236240799,1,0,,,,
alias-16,all,1,1,228148094,228148094,228148094,1,0,1,0,1,0
alias-16,eager,1,1,228047407,228047407,228047407,1,0,1,0,1,0
values-4,baseline,1,1,226722695,226722695,226722695,2,1,,,,
values-4,all,1,1,226953919,226953919,226953919,2,1,2,0,0,0
values-4,eager,1,1,226816607,226816607,226816607,2,1,2,0,0,0
values-16,baseline,1,1,233383741,233383741,233383741,2,1,,,,
values-16,all,1,1,233354985,233354985,233354985,2,1,2,0,0,0
values-16,eager,1,1,233435899,233435899,233435899,2,1,2,0,0,0
permutation-4,baseline,1,1,227356621,227356621,227356621,2,1,,,,
permutation-4,all,1,1,226748612,226748612,226748612,2,1,2,0,0,0
permutation-4,eager,1,1,226827159,226827159,226827159,2,1,2,0,0,0
permutation-16,baseline,1,1,240080126,240080126,240080126,2,1,,,,
permutation-16,all,1,1,233505265,233505265,233505265,2,1,2,0,0,0
permutation-16,eager,1,1,233418043,233418043,233418043,2,1,2,0,0,0
negative-4,baseline,1,1,227206349,227206349,227206349,0,0,,,,
negative-4,all,1,1,227118433,227118433,227118433,0,0,0,0,0,0
negative-4,eager,1,1,226949773,226949773,226949773,0,0,0,0,0,0
negative-16,baseline,1,1,230996063,230996063,230996063,0,0,,,,
negative-16,all,1,1,231046467,231046467,231046467,0,0,0,0,0,0
negative-16,eager,1,1,230967434,230967434,230967434,0,0,0,0,0,0
views-8,baseline,1,1,433924003,433924003,433924003,8,7,,,,
views-8,all,1,1,237346587,237346587,237346587,0,7,2,6,32,0
views-8,eager,1,1,237134127,237134127,237134127,0,7,2,6,32,0
views-16,baseline,1,1,681590929,681590929,681590929,16,15,,,,
views-16,all,1,1,249130361,249130361,249130361,0,15,2,14,64,0
views-16,eager,1,1,249065535,249065535,249065535,0,15,2,14,64,0
views-32,baseline,1,1,2261811195,2261811195,2261811195,32,31,,,,
views-32,all,1,1,274600185,274600185,274600185,0,31,2,30,128,0
views-32,eager,1,1,274594692,274594692,274594692,0,31,2,30,128,0
free_views-8,baseline,1,1,859855869,859855869,859855869,8,7,,,,
free_views-8,all,1,1,250385424,250385424,250385424,8,7,8,0,0,0
free_views-8,eager,1,1,250307104,250307104,250307104,8,7,8,0,0,0
free_views-16,baseline,1,1,2426542232,2426542232,2426542232,16,15,,,,
free_views-16,all,1,1,284842981,284842981,284842981,16,15,16,0,0,0
free_views-16,eager,1,1,284617140,284617140,284617140,16,15,16,0,0,0
