case,arm,solved,total,instructions_min,instructions_median,instructions_max,definitions_0_last_median,comparisons_0_last_median,optimization_0_last_median,optimization_1_last_median,optimization_2_last_median,optimization_3_last_median
allocate-4,baseline,11,11,230415093,230562104,231473968,1,0,,,,
allocate-4,all,11,11,230279259,230664344,231564357,1,0,1,0,0,0
allocate-4,no_coverage,11,11,230312766,230630096,231458248,1,0,1,0,0,0
allocate-4,no_equalities,11,11,230271900,230630545,231500094,1,0,1,0,0,0
allocate-4,no_cache,11,11,230368402,230610093,231559715,1,0,1,0,0,0
allocate-4,eager,11,11,230369506,230596399,231341742,1,0,1,0,0,0
allocate-16,baseline,11,11,322691207,378311104,1565468297,1,0,,,,
allocate-16,all,11,11,322733517,378473258,1565615561,1,0,1,0,0,0
allocate-16,no_coverage,11,11,322886903,378351966,1565672206,1,0,1,0,0,0
allocate-16,no_equalities,11,11,322790412,378350893,1565669438,1,0,1,0,0,0
allocate-16,no_cache,11,11,322691558,378453407,1565652092,1,0,1,0,0,0
allocate-16,eager,11,11,322750073,378443595,1565671069,1,0,1,0,0,0
alias-4,baseline,11,11,226890859,227003065,227018807,1,0,,,,
alias-4,all,11,11,226041635,226201703,226226326,1,0,1,0,1,0
alias-4,no_coverage,11,11,226119703,226185712,226297808,1,0,1,0,1,0
alias-4,no_equalities,11,11,226916005,227054248,227153300,1,0,1,0,1,0
alias-4,no_cache,11,11,226022506,226188266,226213858,1,0,1,0,1,0
alias-4,eager,11,11,226021496,226198456,226229105,1,0,1,0,1,0
alias-16,baseline,11,11,236301211,236397547,236412297,1,0,,,,
alias-16,all,11,11,227915313,227987132,228074833,1,0,1,0,1,0
alias-16,no_coverage,11,11,227840936,228009597,228040197,1,0,1,0,1,0
alias-16,no_equalities,11,11,236405507,236494813,236518519,1,0,1,0,1,0
alias-16,no_cache,11,11,227954759,228021210,228070791,1,0,1,0,1,0
alias-16,eager,11,11,227876299,228031145,228056455,1,0,1,0,1,0
values-4,baseline,11,11,226577866,226742177,226833337,2,1,,,,
values-4,all,11,11,226621984,226763957,226806248,2,1,2,0,0,0
values-4,no_coverage,11,11,226648113,226784249,226840760,2,1,2,1,0,0
values-4,no_equalities,11,11,226673984,226789025,226820261,2,1,2,0,0,0
values-4,no_cache,11,11,226674182,226788458,226793571,2,1,2,0,0,0
values-4,eager,11,11,226613642,226801658,226816076,2,1,2,0,0,0
values-16,baseline,11,11,233307692,233439428,233556207,2,1,,,,
values-16,all,11,11,233215220,233348196,233494157,2,1,2,0,0,0
values-16,no_coverage,11,11,233374784,233425827,233524474,2,1,2,1,0,0
values-16,no_equalities,11,11,233251981,233430745,233513274,2,1,2,0,0,0
values-16,no_cache,11,11,233260802,233343672,233450530,2,1,2,0,0,0
values-16,eager,11,11,233313739,233402711,233508979,2,1,2,0,0,0
permutation-4,baseline,11,11,227283066,227450998,227481370,2,1,,,,
permutation-4,all,11,11,226601176,226791997,226823774,2,1,2,0,0,0
permutation-4,no_coverage,11,11,227390586,227487578,227598769,2,1,3,0,0,0
permutation-4,no_equalities,11,11,226600122,226783840,226908321,2,1,2,0,0,0
permutation-4,no_cache,11,11,226678959,226762265,226793374,2,1,2,0,0,0
permutation-4,eager,11,11,226704669,226790761,226816070,2,1,2,0,0,0
permutation-16,baseline,11,11,239977737,240075232,240183903,2,1,,,,
permutation-16,all,11,11,233231120,233378199,233477476,2,1,2,0,0,0
permutation-16,no_coverage,11,11,240164353,240272939,240300758,2,1,3,0,0,0
permutation-16,no_equalities,11,11,233295730,233385927,233464622,2,1,2,0,0,0
