mode,family,tasks,domain_width,domain_variables,seed,nixie_instructions,z3_instructions,nixie_over_z3,conflicts,decisions,propagations
solver,unknown,8,16,8,10,52334901,55422647,0.9442872874693264,0,254,272
solver,unknown,8,16,8,11,56065128,53571566,1.046546371259709,0,242,272
solver,unknown,8,16,8,12,53695297,52380192,1.0251069144611,0,228,272
solver,unknown,8,16,8,13,51779363,50805946,1.0191595094007304,0,256,272
solver,unknown,8,16,8,14,51508854,51922697,0.9920296320508929,0,231,272
solver,unknown,8,16,8,15,55429137,52315530,1.0595159219451662,0,235,272
solver,unknown,8,16,8,16,56715168,54141400,1.0475378915210911,0,238,272
solver,unknown,8,16,8,17,52727617,53371492,0.9879359752581022,0,243,272
solver,unknown,8,16,8,18,52277976,51103831,1.0229756747590997,0,243,272
solver,unknown,8,16,8,19,52118561,52410102,0.9944373128676605,0,256,272
solver,present,8,16,8,10,125443724,51745145,2.424260749486739,0,231,272
solver,present,8,16,8,11,124550242,54434768,2.2880641651673796,0,234,272
solver,present,8,16,8,12,131192072,53133846,2.4690866909954154,0,220,272
solver,present,8,16,8,13,122254126,51295518,2.3833295922657416,0,240,272
solver,present,8,16,8,14,126682537,56215091,2.2535325434232596,0,223,272
solver,present,8,16,8,15,130166687,62448897,2.0843712740034466,0,227,272
solver,present,8,16,8,16,127737094,53382780,2.3928520395528294,0,215,272
solver,present,8,16,8,17,121017089,52028707,2.325967643208969,0,235,272
solver,present,8,16,8,18,123722838,52514592,2.355970660497562,0,235,272
solver,present,8,16,8,19,121768658,51288659,2.3741829163441377,0,240,272
solver,sparse,8,16,40,10,729529190,107499315,6.786361289837056,0,1133,1296
solver,sparse,8,16,40,11,729615272,108299111,6.737038423150122,0,1154,1296
solver,sparse,8,16,40,12,668877135,108685982,6.15421715562178,0,1130,1296
solver,sparse,8,16,40,13,737288124,102545266,7.189879677136924,0,1140,1296
solver,sparse,8,16,40,14,758238492,108764301,6.971391210430341,0,1084,1296
solver,sparse,8,16,40,15,712999539,114043668,6.251987080948677,0,1129,1296
solver,sparse,8,16,40,16,702693966,107117054,6.5600568701226605,0,1114,1296
solver,sparse,8,16,40,17,722434023,104197632,6.93330557646454,0,1148,1296
solver,sparse,8,16,40,18,745855979,106746116,6.98719547791322,0,1115,1296
solver,sparse,8,16,40,19,830376342,104247760,7.965411841942695,0,1102,1296
certified,unknown,8,16,8,10,53995460,55422647,0.9742490285604728,0,254,272
certified,unknown,8,16,8,11,57863843,53571566,1.080122298459597,0,242,272
certified,unknown,8,16,8,12,55442244,52380192,1.058458204964197,0,228,272
certified,unknown,8,16,8,13,53408507,50805946,1.051225519942095,0,256,272
certified,unknown,8,16,8,14,53160981,51922697,1.023848607093734,0,231,272
certified,unknown,8,16,8,15,57282706,52315530,1.0949464910323952,0,235,272
certified,unknown,8,16,8,16,58645155,54141400,1.083185048779677,0,238,272
certified,unknown,8,16,8,17,54342011,53371492,1.0181842208945555,0,243,272
certified,unknown,8,16,8,18,53963671,51103831,1.0559613622704724,0,243,272
certified,unknown,8,16,8,19,53751632,52410102,1.02559678284923,0,256,272
certified,present,8,16,8,10,127152350,51745145,2.4572807748437078,0,231,272
certified,present,8,16,8,11,126210342,54434768,2.318561218080327,0,234,272
certified,present,8,16,8,12,133050185,53133846,2.50405711267353,0,220,272
certified,present,8,16,8,13,123908176,51295518,2.4155750995632794,0,240,272
certified,present,8,16,8,14,128540287,56215091,2.286579719314161,0,223,272
certified,present,8,16,8,15,131939262,62448897,2.1127556824582507,0,227,272
certified,present,8,16,8,16,129739771,53382780,2.4303674518262257,0,215,272
certified,present,8,16,8,17,122760614,52028707,2.359478470222218,0,235,272
certified,present,8,16,8,18,125500378,52514592,2.3898191573115524,0,235,272
certified,present,8,16,8,19,123411636,51288659,2.406216859754512,0,240,272
certified,sparse,8,16,40,10,737862628,107499315,6.863882137295479,0,1133,1296
certified,sparse,8,16,40,11,736107966,108299111,6.796989921736292,0,1154,1296
certified,sparse,8,16,40,12,673171699,108685982,6.193730659764384,0,1130,1296
certified,sparse,8,16,40,13,747806734,102545266,7.292454963254959,0,1140,1296
certified,sparse,8,16,40,14,764837262,108764301,7.032061576895529,0,1084,1296
certified,sparse,8,16,40,15,720352897,114043668,6.316465522662775,0,1129,1296
certified,sparse,8,16,40,16,711524050,107117054,6.6424908399739975,0,1114,1296
certified,sparse,8,16,40,17,730364211,104197632,7.009412757096054,0,1148,1296
certified,sparse,8,16,40,18,753102405,106746116,7.055080158607363,0,1115,1296
certified,sparse,8,16,40,19,838878268,104247760,8.046966841301915,0,1102,1296
solver,unknown,8,32,8,10,220042184,66204856,3.3236562586889398,0,420,528
solver,unknown,8,32,8,11,227532554,65140549,3.492948056056451,0,461,528
solver,unknown,8,32,8,12,231620191,68656812,3.37359373750124,0,389,528
solver,unknown,8,32,8,13,222342010,67374066,3.3001126872764366,0,439,528
solver,unknown,8,32,8,14,210857299,64444607,3.271915352048,0,401,528
solver,unknown,8,32,8,15,230805735,66980093,3.4458855558770276,0,427,528
solver,unknown,8,32,8,16,240199037,62848689,3.8218623303343686,0,404,528
solver,unknown,8,32,8,17,189631071,66375606,2.8569392044420656,0,463,528
solver,unknown,8,32,8,18,254878828,65439381,3.894884458029944,0,387,528
solver,unknown,8,32,8,19,216304757,63602319,3.4008941875216845,0,471,528
solver,present,8,32,8,10,523734985,66019940,7.932981838517272,0,412,528
solver,present,8,32,8,11,544668994,64874660,8.395712501614652,0,422,528
solver,present,8,32,8,12,530138035,63920858,8.293662688319985,0,381,528
solver,present,8,32,8,13,515449918,66085978,7.799686614307198,0,431,528
solver,present,8,32,8,14,536255964,64107365,8.36496655259501,0,393,528
solver,present,8,32,8,15,538152858,64197857,8.382723086846964,0,388,528
solver,present,8,32,8,16,561227701,63672861,8.8142372148159,0,365,528
solver,present,8,32,8,17,478232896,64511805,7.413106732946009,0,455,528
solver,present,8,32,8,18,575960638,66450788,8.667476418789796,0,379,528
solver,present,8,32,8,19,487784732,63883923,7.635484940397289,0,449,528
solver,sparse,8,32,40,10,3773841655,174929814,21.57346177135934,0,2123,2576
solver,sparse,8,32,40,11,4106014443,173140964,23.71486416698015,0,2203,2576
solver,sparse,8,32,40,12,3953413140,169328110,23.347648184344585,0,2116,2576
solver,sparse,8,32,40,13,3863671795,171340220,22.54970721410303,0,2192,2576
