seed_set,instance,hard,baseline_min,baseline_median,baseline_max,baseline_verdicts,candidate_min,candidate_median,candidate_max,candidate_verdicts,z3_min,z3_median,z3_max,z3_verdicts,candidate_over_baseline_solved,candidate_over_z3_solved
initial,pair-f256,True,216158823,241637561.0,276835932,{'sat': 10},2823635,2824940.0,2865615,{'sat': 10},18650366,18718219.0,18796197,{'sat': 10},0.011698074889638326,0.15110866010378432
initial,budget-f256,True,1356729642,1356732713.5,1356737430,{'unknown': 10},4505630,4507293.5,4511694,{'sat': 10},70139556,70398324.5,70712580,{'sat': 10},,0.06404762640581232
initial,coupled-f256-1,True,278079129,310990462.5,356437710,{'sat': 10},3000621,3003402.0,3011948,{'sat': 10},20492943,20703446.5,20828773,{'sat': 10},0.00965257460696712,0.14528009623508725
initial,coupled-f256-16,True,1145055833,1145059079.5,1145062120,{'unknown': 10},16421865,16424591.0,16428005,{'sat': 10},223387495,328156673.0,16867345062,{'sat': 10},,0.027349911507902423
initial,certified-coupled-f256,True,1145052784,1145056104.0,1145062201,{'unknown': 10},16594511,16597360.5,16601839,{'sat': 10},223387495,328156673.0,16867345062,{'sat': 10},,0.02763877903001919
initial,inconsistent-f256,True,381107061,381170517.5,381172906,{'unsat': 10},2813355,2814878.0,2816247,{'unsat': 10},19449194,19484382.0,19508794,{'unsat': 10},0.007384440787228425,0.144463160939331
initial,rank-deficient-f256,False,2882680,3067984.5,3195398,{'sat': 10},2886007,2887627.5,2892304,{'sat': 10},19850976,20095575.5,20453261,{'sat': 10},0.9480886542768555,0.14375542893841084
initial,coupled-f8-a,False,3721562,3783857.0,3846498,{'sat': 10},3711238,3713455.5,3714343,{'sat': 10},20313621,20478392.0,20540766,{'sat': 10},0.9814865660705406,0.18160290640050822
initial,coupled-f8-b,False,4222996,4228344.0,4236968,{'sat': 10},3712303,3714130.5,3716474,{'sat': 10},20700168,20825539.5,21008616,{'sat': 10},0.8783866158484716,0.1781970293803675
initial,nonlinear-f16,False,3459942,3523814.5,3555511,{'sat': 10},3510103,3540967.0,3571056,{'sat': 10},20342054,20374879.5,20506334,{'sat': 10},1.0058648976102043,0.1736172120782062
initial,disequality-f16,False,3249768,3319600.5,3385139,{'sat': 10},3287356,3321641.0,3389441,{'sat': 10},16491731,16508353.0,16522990,{'sat': 10},1.0018444421273764,0.20173876847641448
initial,control-prime,False,2982798,2988823.0,2995479,{'sat': 10},2982543,2987307.0,3033938,{'sat': 10},15957900,15959501.5,15960586,{'sat': 10},1.000915766415549,0.18745408057642016
initial,control-wide,False,6947324,6949880.0,6955098,{'sat': 10},6947493,6949970.0,6952234,{'sat': 10},37198604,37241081.0,37266097,{'sat': 10},0.9999281451153671,0.18663907856968645
fresh,pair-f256,True,220652312,251005535.5,281359654,{'sat': 10},2824233,2825554.5,2826877,{'sat': 10},18590787,18735107.5,18763732,{'sat': 10},0.01130100619725072,0.1510102620858556
fresh,budget-f256,True,1356697858,1356733998.0,1356735902,{'unknown': 10},4506245,4508278.0,4509807,{'sat': 10},70099732,70453263.5,70649912,{'sat': 10},,0.0640313890903077
fresh,coupled-f256-1,True,283922806,323079587.0,362232040,{'sat': 10},3000916,3003763.5,3013577,{'sat': 10},20529972,20629679.5,20868049,{'sat': 10},0.009336223085338376,0.14529063899176303
fresh,coupled-f256-16,True,1145040375,1145057640.0,1145061417,{'unknown': 10},16422099,16424178.0,16426306,{'sat': 10},231851163,264588395.5,4433796318,{'sat': 10},,0.046590363200344743
fresh,certified-coupled-f256,True,1145052017,1145053915.0,1145061459,{'unknown': 10},16592063,16600141.5,16604737,{'sat': 10},231851163,264588395.5,4433796318,{'sat': 10},,0.047087544320770836
fresh,inconsistent-f256,True,381108127,381171977.5,381206438,{'unsat': 10},2812802,2814126.0,2815558,{'unsat': 10},19478887,19496608.0,19524637,{'unsat': 10},0.007383191121280559,0.1443347899324195
fresh,rank-deficient-f256,False,2872466,2949597.0,3211733,{'sat': 10},2886441,2888215.0,2890875,{'sat': 10},19833075,20075852.5,20239114,{'sat': 10},0.9669068228446746,0.14387316696547475
fresh,coupled-f8-a,False,3721800,3786142.0,3851639,{'sat': 10},3711890,3713512.0,3715931,{'sat': 10},20378836,20437459.0,20759748,{'sat': 10},0.9814259686400834,0.18136110016757379
fresh,coupled-f8-b,False,4222112,4227587.5,4233079,{'sat': 10},3713194,3714981.0,3719463,{'sat': 10},20636044,20870698.0,21020367,{'sat': 10},0.8787905486334602,0.17809856297103885
fresh,nonlinear-f16,False,3491371,3507715.0,3551809,{'sat': 10},3509390,3540226.5,3570038,{'sat': 10},20344691,20377869.0,20453616,{'sat': 10},1.006045435591428,0.173618145096307
fresh,disequality-f16,False,3281560,3353328.0,3386924,{'sat': 10},3286303,3355205.0,3389497,{'sat': 10},16488829,16507233.5,16524618,{'sat': 10},1.001058059748029,0.20264030255478493
fresh,control-prime,False,2995551,3001269.5,3005104,{'sat': 10},2993520,3001058.5,3042385,{'sat': 10},15959099,15959550.5,15961071,{'sat': 10},1.0010199531564261,0.18822378378672436
fresh,control-wide,False,6948691,6949463.5,6989777,{'sat': 10},6948258,6949567.0,6951170,{'sat': 10},37224212,37242577.0,37285740,{'sat': 10},0.999436795323394,0.1865667053519832
