seed_set,instance,hard,baseline_min,baseline_median,baseline_max,baseline_verdicts,candidate_min,candidate_median,candidate_max,candidate_verdicts,z3_min,z3_median,z3_max,z3_verdicts,candidate_over_baseline_solved,candidate_over_z3_solved
initial,pair-f256,True,216158823,241637561.0,276835932,{'sat': 10},2823776,2825003.0,2865337,{'sat': 10},18650366,18718219.0,18796197,{'sat': 10},0.0116984442950328,0.15111343185936985
initial,budget-f256,True,1356729642,1356732713.5,1356737430,{'unknown': 10},4506052,4507844.0,4509033,{'sat': 10},70139556,70398324.5,70712580,{'sat': 10},,0.0640482964225107
initial,coupled-f256-1,True,278079129,310990462.5,356437710,{'sat': 10},3001921,3002641.0,3012501,{'sat': 10},20492943,20703446.5,20828773,{'sat': 10},0.009650328689376354,0.14524629311654028
initial,coupled-f256-16,True,1145055833,1145059079.5,1145062120,{'unknown': 10},16422125,16423711.5,16429002,{'sat': 10},223387495,328156673.0,16867345062,{'sat': 10},,0.027349916304308587
initial,certified-coupled-f256,True,1145052784,1145056104.0,1145062201,{'unknown': 10},16595706,16599206.5,16607387,{'sat': 10},223387495,328156673.0,16867345062,{'sat': 10},,0.02764146482550924
initial,inconsistent-f256,True,381107061,381170517.5,381172906,{'unsat': 10},2812769,2814349.0,2815799,{'unsat': 10},19449194,19484382.0,19508794,{'unsat': 10},0.0073836613602478035,0.1444479128672582
initial,rank-deficient-f256,False,2882680,3067984.5,3195398,{'sat': 10},2886294,2888364.0,2892768,{'sat': 10},19850976,20095575.5,20453261,{'sat': 10},0.9481606346471331,0.1437663430749293
initial,coupled-f8-a,False,3721562,3783857.0,3846498,{'sat': 10},3712284,3713995.0,3715791,{'sat': 10},20313621,20478392.0,20540766,{'sat': 10},0.9817068409009178,0.1816436635038515
initial,coupled-f8-b,False,4222996,4228344.0,4236968,{'sat': 10},3713230,3714061.5,3715671,{'sat': 10},20700168,20825539.5,21008616,{'sat': 10},0.8783267770114412,0.17818488996156492
initial,nonlinear-f16,False,3459942,3523814.5,3555511,{'sat': 10},3510100,3539614.0,3570515,{'sat': 10},20342054,20374879.5,20506334,{'sat': 10},1.0055546110616003,0.17356365509889224
initial,disequality-f16,False,3249768,3319600.5,3385139,{'sat': 10},3286953,3321730.0,3389632,{'sat': 10},16491731,16508353.0,16522990,{'sat': 10},1.0021847756888498,0.2018073005465401
initial,control-prime,False,2982798,2988823.0,2995479,{'sat': 10},2982825,2988209.5,2994205,{'sat': 10},15957900,15959501.5,15960586,{'sat': 10},0.9996767415421953,0.187222032809526
initial,control-wide,False,6947324,6949880.0,6955098,{'sat': 10},6948157,6949100.0,6988864,{'sat': 10},37198604,37241081.0,37266097,{'sat': 10},1.0004577500444791,0.18673793064866664
fresh,pair-f256,True,220652312,251005535.5,281359654,{'sat': 10},2824629,2825618.0,2828801,{'sat': 10},18590787,18735107.5,18763732,{'sat': 10},0.011302677057265991,0.15103258903660766
fresh,budget-f256,True,1356697858,1356733998.0,1356735902,{'unknown': 10},4506361,4507475.5,4509543,{'sat': 10},70099732,70453263.5,70649912,{'sat': 10},,0.06402790034475324
fresh,coupled-f256-1,True,283922806,323079587.0,362232040,{'sat': 10},3000949,3003360.5,3012165,{'sat': 10},20529972,20629679.5,20868049,{'sat': 10},0.00933482088212204,0.1452688178549462
fresh,coupled-f256-16,True,1145040375,1145057640.0,1145061417,{'unknown': 10},16421485,16423657.5,16429163,{'sat': 10},231851163,264588395.5,4433796318,{'sat': 10},,0.046590642238621235
fresh,certified-coupled-f256,True,1145052017,1145053915.0,1145061459,{'unknown': 10},16592110,16599974.5,16609211,{'sat': 10},231851163,264588395.5,4433796318,{'sat': 10},,0.04709017402131214
fresh,inconsistent-f256,True,381108127,381171977.5,381206438,{'unsat': 10},2813566,2815059.0,2816078,{'unsat': 10},19478887,19496608.0,19524637,{'unsat': 10},0.007385197416451202,0.14437401121048749
fresh,rank-deficient-f256,False,2872466,2949597.0,3211733,{'sat': 10},2885697,2887521.0,2890250,{'sat': 10},19833075,20075852.5,20239114,{'sat': 10},0.9665868698617992,0.14382555881147405
fresh,coupled-f8-a,False,3721800,3786142.0,3851639,{'sat': 10},3712246,3714182.5,3716751,{'sat': 10},20378836,20437459.0,20759748,{'sat': 10},0.98159318291881,0.18139200027264807
fresh,coupled-f8-b,False,4222112,4227587.5,4233079,{'sat': 10},3712709,3714613.0,3715860,{'sat': 10},20636044,20870698.0,21020367,{'sat': 10},0.8786100448818712,0.17806198149116426
fresh,nonlinear-f16,False,3491371,3507715.0,3551809,{'sat': 10},3509568,3542792.0,3570203,{'sat': 10},20344691,20377869.0,20453616,{'sat': 10},1.0062848046759063,0.1736594541813347
fresh,disequality-f16,False,3281560,3353328.0,3386924,{'sat': 10},3285691,3353859.0,3389443,{'sat': 10},16488829,16507233.5,16524618,{'sat': 10},1.0010489119552635,0.20263845080255571
fresh,control-prime,False,2995551,3001269.5,3005104,{'sat': 10},2993472,2999872.5,3003636,{'sat': 10},15959099,15959550.5,15961071,{'sat': 10},0.9994842759466612,0.1879350273296872
fresh,control-wide,False,6948691,6949463.5,6989777,{'sat': 10},6948038,6949709.0,6952846,{'sat': 10},37224212,37242577.0,37285740,{'sat': 10},0.9994633168533659,0.18657165617477747
