seed_set,instance,hard,baseline_min,baseline_median,baseline_max,baseline_verdicts,candidate_min,candidate_median,candidate_max,candidate_verdicts,z3_min,z3_median,z3_max,z3_verdicts,candidate_over_baseline_solved,candidate_over_z3_solved
initial,pair-f256,True,216158823,241637561.0,276835932,{'sat': 10},2823655,2828094.0,2865709,{'sat': 10},18650366,18718219.0,18796197,{'sat': 10},0.011735278505900637,0.1515892339296019
initial,budget-f256,True,1356729642,1356732713.5,1356737430,{'unknown': 10},4506360,4511833.0,4518456,{'sat': 10},70139556,70398324.5,70712580,{'sat': 10},,0.06409991697440638
initial,coupled-f256-1,True,278079129,310990462.5,356437710,{'sat': 10},3000602,3005329.0,3011354,{'sat': 10},20492943,20703446.5,20828773,{'sat': 10},0.00965665042992664,0.1453414411068864
initial,coupled-f256-16,True,1145055833,1145059079.5,1145062120,{'unknown': 10},16423104,16428219.0,16431363,{'sat': 10},223387495,328156673.0,16867345062,{'sat': 10},,0.027356038652948278
initial,certified-coupled-f256,True,1145052784,1145056104.0,1145062201,{'unknown': 10},16593175,16601207.0,16607463,{'sat': 10},223387495,328156673.0,16867345062,{'sat': 10},,0.027643381384631613
initial,inconsistent-f256,True,381107061,381170517.5,381172906,{'unsat': 10},2812354,2815389.5,2820652,{'unsat': 10},19449194,19484382.0,19508794,{'unsat': 10},0.007387823286585629,0.14452933339071858
initial,rank-deficient-f256,False,2882680,3067984.5,3195398,{'sat': 10},2887356,2888318.5,2894200,{'sat': 10},19850976,20095575.5,20453261,{'sat': 10},0.9483036816294826,0.14378803279794544
initial,coupled-f8-a,False,3721562,3783857.0,3846498,{'sat': 10},3713734,3717290.5,3720818,{'sat': 10},20313621,20478392.0,20540766,{'sat': 10},0.9825669845696046,0.18180281452593922
initial,coupled-f8-b,False,4222996,4228344.0,4236968,{'sat': 10},3715050,3719134.0,3724534,{'sat': 10},20700168,20825539.5,21008616,{'sat': 10},0.8795170325460834,0.17842635538994225
initial,nonlinear-f16,False,3459942,3523814.5,3555511,{'sat': 10},3510454,3524941.0,3571821,{'sat': 10},20342054,20374879.5,20506334,{'sat': 10},1.0039510071528321,0.17328686520337097
initial,disequality-f16,False,3249768,3319600.5,3385139,{'sat': 10},3286507,3324197.0,3389286,{'sat': 10},16491731,16508353.0,16522990,{'sat': 10},1.0013526435584696,0.2016397362979068
initial,control-prime,False,2982798,2988823.0,2995479,{'sat': 10},2985148,2990772.0,3032053,{'sat': 10},15957900,15959501.5,15960586,{'sat': 10},1.003938049636713,0.18802010155588147
initial,control-wide,False,6947324,6949880.0,6955098,{'sat': 10},6947467,6988979.5,6992485,{'sat': 10},37198604,37241081.0,37266097,{'sat': 10},1.0034393073238042,0.18729444574031023
fresh,pair-f256,True,220652312,251005535.5,281359654,{'sat': 10},2824752,2826153.5,2830157,{'sat': 10},18590787,18735107.5,18763732,{'sat': 10},0.011304982357355905,0.151063393724676
fresh,budget-f256,True,1356697858,1356733998.0,1356735902,{'unknown': 10},4506572,4508702.5,4517601,{'sat': 10},70099732,70453263.5,70649912,{'sat': 10},,0.06406517548784219
fresh,coupled-f256-1,True,283922806,323079587.0,362232040,{'sat': 10},3002493,3004446.0,3013666,{'sat': 10},20529972,20629679.5,20868049,{'sat': 10},0.009341197376272849,0.14536804908595152
fresh,coupled-f256-16,True,1145040375,1145057640.0,1145061417,{'unknown': 10},16422988,16425274.0,16431282,{'sat': 10},231851163,264588395.5,4433796318,{'sat': 10},,0.046596294619117004
fresh,certified-coupled-f256,True,1145052017,1145053915.0,1145061459,{'unknown': 10},16594456,16600795.5,16608752,{'sat': 10},231851163,264588395.5,4433796318,{'sat': 10},,0.04709486130455987
fresh,inconsistent-f256,True,381108127,381171977.5,381206438,{'unsat': 10},2780225,2816159.0,2821041,{'unsat': 10},19478887,19496608.0,19524637,{'unsat': 10},0.0073794500548711,0.14426165542655836
fresh,rank-deficient-f256,False,2872466,2949597.0,3211733,{'sat': 10},2887413,2889796.0,2894907,{'sat': 10},19833075,20075852.5,20239114,{'sat': 10},0.9676749166668459,0.14398745728602214
fresh,coupled-f8-a,False,3721800,3786142.0,3851639,{'sat': 10},3713820,3716226.0,3725717,{'sat': 10},20378836,20437459.0,20759748,{'sat': 10},0.9824040215251334,0.18154183794395498
fresh,coupled-f8-b,False,4222112,4227587.5,4233079,{'sat': 10},3711983,3715674.0,3722426,{'sat': 10},20636044,20870698.0,21020367,{'sat': 10},0.879023737284306,0.1781458217446811
fresh,nonlinear-f16,False,3491371,3507715.0,3551809,{'sat': 10},3512265,3525786.5,3571928,{'sat': 10},20344691,20377869.0,20453616,{'sat': 10},1.0037909234295939,0.17322907298704926
fresh,disequality-f16,False,3281560,3353328.0,3386924,{'sat': 10},3287988,3354450.5,3391093,{'sat': 10},16488829,16507233.5,16524618,{'sat': 10},0.9984304640984317,0.20210840855299242
fresh,control-prime,False,2995551,3001269.5,3005104,{'sat': 10},2993057,3003861.5,3040814,{'sat': 10},15959099,15959550.5,15961071,{'sat': 10},1.0024456888087667,0.18849186771284096
fresh,control-wide,False,6948691,6949463.5,6989777,{'sat': 10},6948825,6950653.5,6987498,{'sat': 10},37224212,37242577.0,37285740,{'sat': 10},1.0005992399195625,0.1867837010234215
