seed_set,instance,n,baseline_min,baseline_median,baseline_max,treatment_min,treatment_median,treatment_max,treatment_over_baseline
initial,budget-f256,10,3526381896,3526402216.0,3526405444,1356683113,1356726148.5,1356734182,0.38473314415910664
initial,certified-f256,10,28194442,30265365.0,32804641,9435295,10230018.5,11199939,0.33792449481834175
initial,control-prime,10,2975166,3012865.0,3019543,2982798,2988823.0,2995479,0.9943995211579927
initial,control-wide,10,6941207,6981924.5,6983089,6947324,6949880.0,6955098,0.9960548215533269
initial,no-root-f256,10,4314316,4317223.0,4355477,3525648,3526875.0,3528917,0.8155866820930276
initial,pair-f16,10,4015061,4156551.5,4341303,3680048,3753689.0,3888445,0.9048944801061719
initial,pair-f256,10,371944763,416041127.0,477022039,216158823,241637561.0,276835932,0.5808109277625304
initial,shared-f256,10,28114283,30160814.0,32697648,9356006,10146433.5,11126645,0.3364332276889431
initial,square-f16,10,2718854,2755370.0,2770364,2697881,2708305.0,2745365,0.9865398718417033
initial,square-f256,10,4070982,4257085.0,4494507,3441703,3545981.0,3672163,0.8342734890436355
initial,square-f4,10,2657714,2696083.5,2697179,2660037,2660875.5,2665008,0.9898795653856851
initial,square-f8-a,10,2673606,2680769.0,2721647,2671946,2677561.0,2711865,0.994814045125537
initial,square-f8-b,10,2673787,2696313.5,2719110,2672496,2675284.0,2679964,0.9922247567959028
fresh,budget-f256,10,3526398272,3526404020.0,3526407002,1356724416,1356726293.0,1356728796,0.3847337541091441
fresh,certified-f256,10,28123444,30162227.0,32724563,9408606,10198475.5,11167637,0.3379699091528039
fresh,control-prime,10,2981430,2990623.0,3030861,2995551,3001269.5,3005104,0.9995470297858735
fresh,control-wide,10,6941325,6944101.5,6982268,6948691,6949463.5,6989777,0.9993407854090678
fresh,no-root-f256,10,4317387,4356310.0,4359156,3524931,3526401.5,3567276,0.8111090112434749
fresh,pair-f16,10,4024865,4235685.0,4341337,3679348,3811435.5,3888513,0.9021189847439613
fresh,pair-f256,10,379716108,432256557.0,484804003,220652312,251005535.5,281359654,0.5807147140907499
fresh,shared-f256,10,28001415,30100140.5,32649981,9324511,10117516.0,11091866,0.33617598683400934
fresh,square-f16,10,2709596,2721351.0,2768449,2698605,2702076.0,2710818,0.9900966220129661
fresh,square-f256,10,4024618,4229557.5,4447614,3440336,3555278.0,3668869,0.8402175135329262
fresh,square-f4,10,2695152,2695973.0,2698175,2659666,2661375.0,2702443,0.9884446457478631
fresh,square-f8-a,10,2675475,2712523.5,2718561,2672523,2675578.5,2714878,0.9908282522550032
fresh,square-f8-b,10,2675240,2713737.0,2721111,2671685,2674433.0,2679237,0.9888855860438737
