instance,seeds,reference_reused_from,nixie_min,nixie_median,nixie_max,z3_min,z3_median,z3_max,nixie_over_z3_solved_ratio,nixie_verdicts,z3_verdicts
budget-f256,20,,1356683113,1356726214.0,1356734182,70099732,70414037.5,70712580,,{'unknown': 20},{'sat': 20}
certified-f256,20,shared-f256,9408606,10214357.5,11199939,43783900,43886371.5,44047102,0.23291935413833278,{'sat': 20},{'sat': 20}
control-prime,20,,2982798,2995515.0,3005104,15957900,15959522.0,15961071,0.18765691260690054,{'sat': 20},{'sat': 20}
control-wide,20,,6947324,6949488.5,6989777,37198604,37241795.0,37285740,0.18666216488328521,{'sat': 20},{'sat': 20}
no-root-f256,20,,3524931,3526688.5,3567276,17442516,17551989.0,17579803,0.20125220160367352,{'unsat': 20},{'unsat': 20}
pair-f16,20,,3679348,3782544.5,3888513,11334145,11387973.5,11444244,0.3321389022336488,{'sat': 20},{'sat': 20}
pair-f256,20,,216158823,243881378.0,281359654,18590787,18719595.0,18796197,13.138087585310494,{'sat': 20},{'sat': 20}
shared-f256,20,,9324511,10131712.5,11126645,43783900,43886371.5,44047102,0.23109281419920352,{'sat': 20},{'sat': 20}
square-f16,20,,2697881,2705912.0,2745365,10997060,11027863.5,11034466,0.24572983878998655,{'sat': 20},{'sat': 20}
square-f256,20,,3440336,3545981.0,3672163,17521177,17599119.5,17638142,0.20166459791991842,{'sat': 20},{'sat': 20}
square-f4,20,,2659666,2661066.0,2702443,10531171,10531245.5,10531462,0.2528952640890051,{'sat': 20},{'sat': 20}
square-f8-a,20,,2671946,2677031.0,2714878,10735672,10737422.0,10739187,0.24954777589225738,{'sat': 20},{'sat': 20}
square-f8-b,20,,2671685,2675170.0,2679964,10743367,10760946.5,10778509,0.24859442439576662,{'sat': 20},{'sat': 20}
