grid,mode,instance,seed,baseline,candidate,z3
selection,solver,unknown-4x4,10,3371519,3371747,22060643
selection,solver,unknown-4x4,11,3365498,3365808,22600097
selection,solver,unknown-4x4,12,3350440,3350252,23652114
selection,solver,unknown-4x4,13,3349413,3349614,21964006
selection,solver,unknown-4x4,14,3379570,3379950,22287389
selection,solver,unknown-4x4,15,3364469,3365583,22271230
selection,solver,unknown-4x4,16,3350741,3350980,22700818
selection,solver,unknown-4x4,17,3349222,3348891,22181718
selection,solver,unknown-4x4,18,3467214,3469856,21841699
selection,solver,unknown-4x4,19,3365174,3364958,22312460
selection,solver,present-4x4,10,4447524,4448145,22138143
selection,solver,present-4x4,11,4450996,4452303,22170003
selection,solver,present-4x4,12,4380652,4382379,22451132
selection,solver,present-4x4,13,4416012,4414946,22148549
selection,solver,present-4x4,14,4433581,4431617,22218618
selection,solver,present-4x4,15,4451775,4451864,22194808
selection,solver,present-4x4,16,4380617,4381437,22231126
selection,solver,present-4x4,17,4415598,4416882,22234090
selection,solver,present-4x4,18,4446726,4447865,22168932
selection,solver,present-4x4,19,4452551,4450131,22147445
selection,solver,absent-4x4,10,3493156,3493537,22190315
selection,solver,absent-4x4,11,3488303,3487420,22189054
selection,solver,absent-4x4,12,3467237,3470707,22190155
selection,solver,absent-4x4,13,3488332,3489427,22181823
selection,solver,absent-4x4,14,3506757,3508185,22815796
selection,solver,absent-4x4,15,3487802,3488817,22171047
selection,solver,absent-4x4,16,3468771,3467370,22246711
selection,solver,absent-4x4,17,3487168,3487629,22214497
selection,solver,absent-4x4,18,3494190,3493540,22189734
selection,solver,absent-4x4,19,3486046,3487941,22178098
selection,solver,shared-4x4,10,3300310,3302159,21521101
selection,solver,shared-4x4,11,3305223,3305290,21863560
selection,solver,shared-4x4,12,3276425,3275516,21584627
selection,solver,shared-4x4,13,3241185,3241926,21721378
selection,solver,shared-4x4,14,3368230,3369656,21310250
selection,solver,shared-4x4,15,3308195,3306463,21273368
selection,solver,shared-4x4,16,3275675,3276500,21594337
selection,solver,shared-4x4,17,3240981,3241029,22270981
selection,solver,shared-4x4,18,3323644,3324219,22067126
selection,solver,shared-4x4,19,3307510,3305899,21255784
selection,solver,blocked-4x4,10,3388602,3387650,29527043
selection,solver,blocked-4x4,11,3386454,3389791,29933444
selection,solver,blocked-4x4,12,3388956,3389565,31590010
selection,solver,blocked-4x4,13,3392360,3386549,30893134
selection,solver,blocked-4x4,14,3421492,3422525,31050680
selection,solver,blocked-4x4,15,3389066,3386980,33966723
selection,solver,blocked-4x4,16,3389047,3386634,33157104
selection,solver,blocked-4x4,17,3388039,3387450,30253817
selection,solver,blocked-4x4,18,3388589,3386546,32870097
selection,solver,blocked-4x4,19,3389511,3389691,26890622
selection,solver,wide-4x4,10,3708547,3708263,24211377
selection,solver,wide-4x4,11,3711130,3709745,24786664
selection,solver,wide-4x4,12,3709084,3709627,25860267
selection,solver,wide-4x4,13,3708878,3710008,24012958
selection,solver,wide-4x4,14,3716206,3717893,24355778
selection,solver,wide-4x4,15,3709843,3709225,24294611
selection,solver,wide-4x4,16,3709024,3710381,24897770
selection,solver,wide-4x4,17,3710259,3710774,24320834
selection,solver,wide-4x4,18,3807214,3809424,23820917
selection,solver,wide-4x4,19,3709644,3710715,24306485
