instance,seed,cpu,cap,arm,sha,reported_answer,verified_sat_model,conflicts,instructions,cycles,branches,branch_misses,wall_s,record_id
break_unsat_06_07,0,2,10000000,baseline-mode-matched,0263862,unsat,False,28619,6672690360,3996945503,1376957805,73026386,0.916348,93d3e3b21977e01d
break_unsat_06_07,0,2,10000000,candidate-eager-normalization,2bd403c,unsat,False,28619,6583957293,3648018347,1368038926,63106549,0.820996,d526888a4ec5f7cc
break_unsat_06_07,0,2,10000000,candidate-watch-move-value,df07e94,unsat,False,28619,6638135820,4000048141,1377222241,73081501,0.866178,a03aedc3c22a47e8
break_unsat_06_07,0,10,10000000,candidate-compact-trail,162644c,unsat,False,28619,6635784132,4326696600,1377051966,70862375,1.016147,6cb00c616b6ee781
break_unsat_06_07,0,10,10000000,candidate-eager-normalization,2bd403c,unsat,False,28619,6584066053,4501156432,1368063284,60857276,2.131456,17d1f2cf755a1557
break_unsat_06_07,0,10,10000000,candidate-inline-trail,1d217a2,unsat,False,28619,6650323519,4333720307,1377137995,71030856,1.017551,7c0ceedc41fe2ba3
break_unsat_06_07,0,10,10000000,candidate-specialized-propagation,de17156,unsat,False,28619,6637569274,4350990506,1352104542,70601603,1.016382,70378f30c33796cc
break_unsat_06_07,1,2,10000000,baseline-mode-matched,0263862,unsat,False,33293,7940570746,5617469002,1635032658,87054705,2.433191,fe6b935f1d33b3e3
break_unsat_06_07,1,2,10000000,candidate-eager-final,219bed6,unsat,False,33293,7838504079,4289642501,1624827884,74163495,1.023859,50fa8316e92aed2a
break_unsat_06_07,1,2,10000000,candidate-eager-normalization,2bd403c,unsat,False,33293,7838176514,5948437205,1624813761,76246715,3.751806,5141e7ce534758c0
break_unsat_06_07,2,2,10000000,baseline-mode-matched,0263862,unsat,False,34469,8696459658,5293096690,1790078232,95926022,1.236561,335a7b2a5f5f5a91
break_unsat_06_07,2,2,10000000,candidate-eager-final,219bed6,unsat,False,34469,8571896875,4808988551,1777694215,81992772,1.221274,fb9e756dad124590
break_unsat_06_07,2,2,10000000,candidate-eager-normalization,2bd403c,unsat,False,34469,8570763643,4815910999,1777463892,81973475,1.124138,9ed62f827b4e0f3b
break_unsat_06_07,3,2,10000000,baseline-mode-matched,0263862,unsat,False,33158,8143494035,4957179497,1678493156,90438920,1.168609,cabe4d5cd9d66793
break_unsat_06_07,3,2,10000000,candidate-eager-final,219bed6,unsat,False,33158,8029301951,5674817591,1667108492,79974379,4.248541,350c8de7b4e3733a
break_unsat_06_07,3,2,10000000,candidate-eager-normalization,2bd403c,unsat,False,33158,8028518566,4504796368,1666976191,77505130,1.068148,df1ffaceef144206
circuit_48in64out,0,2,10000000,baseline-mode-matched,0263862,sat,True,162529,63006496216,45834572736,13405711369,663021944,9.36352,35ccfa9412f270f8
circuit_48in64out,0,2,10000000,candidate-eager-normalization,2bd403c,sat,True,162529,62255197019,42906915426,13340245190,572030799,8.828993,b5c411a27f1227b5
circuit_48in64out,0,2,10000000,candidate-watch-move-value,df07e94,sat,True,162529,62731430750,45416824891,13406689823,662111040,9.235697,cccda2ab8d59258b
circuit_48in64out,0,10,10000000,candidate-compact-trail,162644c,sat,True,162529,62856117244,42765185943,13405884070,651011588,9.482148,9e80bacb87a27055
