instance,seed,arm,included_in_comparison,reported_verdict,verified_sat_model,emergency_timeout,conflicts,instructions,cycles,branches,branch_misses,wall_s,record_id
break_unsat_06_07,1,baseline,True,unsat,False,False,33293,7941393975,5081991543,1635213472,83725647,1.166509,656f91dca878e61e
break_unsat_06_07,1,cadical,True,unsat,False,False,27093,3383895193,2103235559,516345427,35471790,0.515237,b6fe2ac392ac451b
break_unsat_06_07,1,kissat,True,unsat,False,False,30364,3454778757,2087555374,560624969,37731705,0.515278,b912154bbd2bb683
break_unsat_06_07,2,baseline,True,unsat,False,False,34469,8696456727,5668489765,1790076390,93568976,1.268132,0b2d040d16b02f35
break_unsat_06_07,2,cadical,True,unsat,False,False,26356,3278849418,2008826796,500998172,33995322,0.516827,90370e4a0ef18f50
break_unsat_06_07,2,kissat,True,unsat,False,False,25726,2767841190,1687586968,447561000,30974995,0.415498,86b6bd3b18d0374a
break_unsat_06_07,3,baseline,True,unsat,False,False,33158,8142547306,5377656943,1678282151,88154833,1.216995,edea86baa6449582
break_unsat_06_07,3,cadical,True,unsat,False,False,26529,3316706673,2027060862,506342026,34462500,0.467069,472ddca42027b63e
break_unsat_06_07,3,kissat,True,unsat,False,False,26947,3079927962,1861257831,499641168,34022071,0.465591,91e0b6aeb29536ed
break_unsat_06_07,4,baseline,True,unsat,False,False,42368,11538089301,7811668076,2377467167,127760497,1.768652,3c94740549c1e380
break_unsat_06_07,4,cadical,True,unsat,False,False,26289,3296881740,2026919761,503575979,34395028,0.515698,c2ee10e91c324b61
break_unsat_06_07,4,kissat,True,unsat,False,False,29295,3540571416,2146272785,575185720,38954676,0.515084,bb00991497cb11ab
break_unsat_06_07,5,baseline,True,unsat,False,False,31281,7053762289,4484013571,1455571988,74272205,1.015568,12875049519846e1
break_unsat_06_07,5,cadical,True,unsat,False,False,25696,3142740257,1935850674,478591071,32913686,0.466816,85b7cf748fd6292c
break_unsat_06_07,5,kissat,True,unsat,False,False,27483,3119109262,1880872940,506283758,34240613,0.465583,a3d868f758e3654f
break_unsat_06_07,6,baseline,True,unsat,False,False,42253,11604588182,7760167991,2388504933,128212211,1.767928,bf25b6a0ca2eeff5
break_unsat_06_07,6,cadical,True,unsat,False,False,23675,2914395628,1787157449,444371255,30279286,0.465487,a13bdf628e70bbf5
break_unsat_06_07,6,kissat,True,unsat,False,False,23899,2577074350,1564726378,416616385,28562667,0.364822,28949b9c384a69fa
break_unsat_06_07,7,baseline,False,unsat,False,False,27652,6132494069,4014246365,1262131931,65799146,0.916434,a9d3a642e266fde1
break_unsat_06_07,7,cadical,False,unsat,False,False,27553,3509739085,2141678145,536440771,36327766,0.517151,077edbdc104fd741
break_unsat_06_07,7,kissat,False,unsat,False,False,36991,4330346856,2604443708,704873898,47311410,0.615897,2460f9e9be59cb82
circuit_48in64out,1,baseline,True,sat,True,False,186114,71520263986,46049714967,15215473173,757146758,10.140484,b0dea9dcd65d6618
circuit_48in64out,1,cadical,True,sat,True,False,214448,40399472222,22729281132,6738959668,345562649,5.077858,53ff39ba38ecacda
circuit_48in64out,1,kissat,True,sat,True,False,167929,15462302668,8045285032,2684887053,132736178,1.818871,b154fe60f88659f8
circuit_48in64out,2,baseline,True,sat,True,False,197665,71486102402,46289813394,15192217913,752884044,10.23854,3ce2aa250333f8c3
circuit_48in64out,2,cadical,True,sat,True,False,194123,36239813742,19902975195,6095897983,298508578,4.422681,4015bcb6016c5f0c
circuit_48in64out,2,kissat,True,sat,True,False,216006,23265971584,12450765658,3964658947,209970060,2.820223,acd39cfdfec9a96a
circuit_48in64out,3,baseline,True,sat,True,False,194500,77405947722,49900991129,16462222432,822472578,10.989618,0cafbdcf9198eec4
circuit_48in64out,3,cadical,True,sat,True,False,202894,36813319840,20664893885,6197302798,305441941,4.6291,958a6856d1b3b35d
circuit_48in64out,3,kissat,True,sat,True,False,222720,24966977012,13579747625,4244164406,232190436,3.021953,7fbe3408fc37120a
circuit_48in64out,4,baseline,True,sat,True,False,200767,77829881076,51185957586,16525261709,825890188,11.291866,a8907e1f6f02b8bd
circuit_48in64out,4,cadical,True,sat,True,False,199175,35523716704,19900566456,5988723760,295660805,4.426618,a20fd7c3cb3726ce
circuit_48in64out,4,kissat,True,sat,True,False,244751,28874837635,15699829089,4900860339,259967636,3.523553,8afe2c55c5267f58
circuit_48in64out,5,baseline,True,sat,True,False,203102,79239265981,51403162786,16833584760,848726504,11.343621,67920dee13a07c12
circuit_48in64out,5,cadical,True,sat,True,False,191646,32527326997,17873272178,5522371308,272196473,3.973895,0303759bd5ae3f0d
circuit_48in64out,5,kissat,True,sat,True,False,227746,26642659927,14157122092,4520689764,237916730,3.170263,0813089464c46360
circuit_48in64out,6,baseline,True,sat,True,False,189815,72344515058,46227487060,15388943353,755214572,10.194861,90f5e4bcf5a36003
circuit_48in64out,6,cadical,True,sat,True,False,224820,45051937728,25998623699,7487755222,399656580,5.780095,7407d5d1266cead8
circuit_48in64out,6,kissat,True,sat,True,False,301298,51843952986,28379702457,8651864268,488572986,6.275252,1f1d061df107d75b
circuit_48in64out,7,baseline,False,sat,True,False,213668,82373336525,52649005700,17489952747,871591063,11.588045,13516c4f4626acf9
circuit_48in64out,7,cadical,False,sat,True,False,207031,38418044823,21889043396,6394224888,344021500,4.875265,a8b54e49274741c0
circuit_48in64out,7,kissat,False,sat,True,False,262609,36363633736,19698461728,6119024700,336931395,4.376475,2dcc626b557f43d0
constraints_17,1,baseline,True,sat,True,False,11386,21807404518,10932065504,5509000255,92806366,2.520952,7b42c67092f7a7dd
constraints_17,1,cadical,True,sat,True,False,7075,11206132566,5100890600,1974199374,40538830,1.218259,82ae68130adde56f
constraints_17,1,kissat,True,sat,True,False,44023,35656757134,21459969367,6779958683,193418448,4.977037,917b390fbff75321
constraints_17,2,baseline,True,sat,True,False,160294,304532768349,157100193818,81980974916,1354423012,34.64234,52f50631d89ed2be
constraints_17,2,cadical,True,sat,True,False,7075,11206109488,4940505784,1974196719,40525866,1.170452,2f74d8906dafd4ad
constraints_17,2,kissat,True,sat,True,False,35374,29278879977,16821072642,5590774335,157998632,3.925184,59a9dc862045a4a5
constraints_17,3,baseline,True,sat,True,False,20652,39408482700,22390001970,10190498237,177297807,5.026488,51de1653ba03550b
constraints_17,3,cadical,True,sat,True,False,7075,11206152131,5444001228,1974203624,40538452,1.317425,ce20a29d9a236d15
constraints_17,3,kissat,True,sat,True,False,129098,90254294333,53801399278,17195173504,503321350,12.245589,b2939457c156e440
constraints_17,4,baseline,True,sat,True,False,58859,114263906171,67154545976,30394573131,517481480,14.844053,2d166fd09af9ee65
constraints_17,4,cadical,True,sat,True,False,7075,11206140402,5166314411,1974201003,40580518,1.218004,7abdf4374c4dd990
constraints_17,4,kissat,True,sat,True,False,8466,9295710334,5582156865,1753804547,43341039,1.319068,027de1c6f11b5f8a
constraints_17,5,baseline,True,sat,True,False,12810,26346284501,14772967204,6701286879,116705305,3.374853,f1f7dbc3929509c0
constraints_17,5,cadical,True,sat,True,False,7075,11206097597,5045051443,1974194130,40706936,1.217121,f3b45d7e068895b2
constraints_17,5,kissat,True,sat,True,False,32939,28355680463,17004445815,5420641352,153623988,3.977489,af7142a8747b6e50
constraints_17,6,baseline,True,sat,True,False,5040,10479774127,4827581236,2559479385,37934780,1.167163,0b73d767197fc7ff
constraints_17,6,cadical,True,sat,True,False,7075,11206103409,4975760840,1974195276,40562667,1.217702,707de4f7f1080464
constraints_17,6,kissat,True,sat,True,False,145142,99328396366,55871891892,18898467384,558841633,12.741768,6bc0534eb3d9ad1e
constraints_17,7,baseline,False,sat,True,False,75176,138380934207,70330228064,36483035973,648371212,15.56014,8a2445ffe4904072
constraints_17,7,cadical,False,sat,True,False,7075,11206132341,4846256275,1974199175,40531998,1.167775,083f04b12af26d10
constraints_17,7,kissat,False,sat,True,False,10970,9841164872,5062215234,1853497940,44659067,1.217867,9bdebde0af261665
crn_11_99_u,1,baseline,True,unsat,False,False,90355,11753214081,7105484067,2450826492,114984547,1.617349,5c1e02adf69003ab
crn_11_99_u,1,cadical,True,unsat,False,False,48306,3034733481,1776240027,484317081,29721849,0.464837,83a206a66a5fb69b
crn_11_99_u,1,kissat,True,unsat,False,False,65919,3972270089,2214644496,665615051,39106428,0.515549,1dde8a38186169f8
crn_11_99_u,2,baseline,True,unsat,False,False,81428,10695852222,6433559104,2242666133,106577328,1.468701,5c8a454ea3e00759
crn_11_99_u,2,cadical,True,unsat,False,False,61029,4165310732,2403164644,661764398,40455338,0.565806,1abdc1ca738482ca
crn_11_99_u,2,kissat,True,unsat,False,False,65466,4022320100,2246301446,673883146,40202508,0.515592,7c916dd920599e5b
crn_11_99_u,3,baseline,True,unsat,False,False,81499,10849663871,6624084014,2289271506,108549109,1.519051,8e7199bd6396ab2a
crn_11_99_u,3,cadical,True,unsat,False,False,65564,4417908024,2506483740,698669023,42219938,0.615573,4ae02fd62e05f413
crn_11_99_u,3,kissat,True,unsat,False,False,80604,5606077369,3042180892,942170984,53431275,0.715861,89d27e66adbe557c
crn_11_99_u,4,baseline,True,unsat,False,False,90191,12420304984,7515995292,2603881069,122109174,1.717102,2822e2f53b1c4dde
crn_11_99_u,4,cadical,True,unsat,False,False,60658,4261614358,2421043801,673029281,40732404,0.56608,496c6de6a1e31a80
crn_11_99_u,4,kissat,True,unsat,False,False,88535,5834837787,3187288925,980869990,56602129,0.766302,05741f7e0eeae707
crn_11_99_u,5,baseline,True,unsat,False,False,85252,11571317578,6835790045,2435228484,113394053,1.568436,918e54a9f81630d5
crn_11_99_u,5,cadical,True,unsat,False,False,49317,2947800054,1713739180,471566433,29245412,0.415326,3c7b5b839d9d3945
crn_11_99_u,5,kissat,True,unsat,False,False,75105,4697455912,2595384547,787942273,46203645,0.61603,f554990c5bcf9251
crn_11_99_u,6,baseline,True,unsat,False,False,96584,13701378602,8426129161,2888859496,137600547,1.91796,da83ee789bb6c750
crn_11_99_u,6,cadical,True,unsat,False,False,52759,3033244094,1733792370,485458962,29366902,0.416354,875494f856d4d564
crn_11_99_u,6,kissat,True,unsat,False,False,79669,5318665584,2853341572,892069538,49636224,0.665729,a037f6577170f4db
crn_11_99_u,7,baseline,False,unsat,False,False,96949,14127622099,8633633106,2973980727,138813837,1.919903,30fdd62adcd33ffe
crn_11_99_u,7,cadical,False,unsat,False,False,48141,2971162019,1722264490,475260557,29267346,0.414784,d7ddcfee0da7b5f4
crn_11_99_u,7,kissat,False,unsat,False,False,82712,6250876712,3343744438,1054899505,57973458,0.76587,4f4a5153405a69db
j3037,1,baseline,True,unsat,False,False,342242,262095194305,184443500714,55301061043,2361180391,40.624461,0ea3bcf76cf08aec
j3037,1,cadical,True,unsat,False,False,369386,201549608755,124545421441,29633856422,1667953315,27.364031,e09ab1c85eaacee5
j3037,1,kissat,True,unsat,False,False,299868,122255274336,73995984507,18934384772,1119771381,16.246085,2ecd01d6fdf622c5
j3037,2,baseline,True,unsat,False,False,342673,256161208774,180898171021,54081566092,2303319611,39.825195,b712cd3230f0ef8e
j3037,2,cadical,True,unsat,False,False,304759,164829284418,94839029912,24217231095,1355077246,20.854381,9a324749d33f8e39
j3037,2,kissat,True,unsat,False,False,306158,129416878029,74615032807,20012803803,1182292983,16.400802,371cffacdb3fcf90
j3037,3,baseline,True,unsat,False,False,353092,267646387923,182893767891,56529806873,2418959125,40.158852,a1d207ccecff970f
j3037,3,cadical,True,unsat,False,False,354084,190444318448,110588541241,27952336425,1568787632,24.327945,dd48a322da4fb78c
j3037,3,kissat,True,unsat,False,False,289335,120035961310,69100873858,18550683798,1100342331,15.193509,470fff38374da2bc
j3037,4,baseline,True,unsat,False,False,366828,279297129964,201134850591,58929678691,2506459548,44.314498,d3cf5139968b5983
j3037,4,cadical,True,unsat,False,False,341700,188946647898,110284723457,27816123644,1556890211,24.263049,d3a8a74158e98c8e
j3037,4,kissat,True,unsat,False,False,302596,125652106580,72256016676,19435348448,1148781778,15.907891,471d3ee14202b78e
j3037,5,baseline,True,unsat,False,False,349999,264694434674,184861659282,55852908523,2390975209,40.658797,0dacec547e4d8e20
j3037,5,cadical,True,unsat,False,False,348611,189988383252,110130701050,27921237267,1559832666,24.204847,9b0a411c4136e9e5
j3037,5,kissat,True,unsat,False,False,270787,115422900367,66249337802,17828603799,1056050093,14.589969,997768437ae7a69b
j3037,6,baseline,True,unsat,False,False,361822,272041502414,197542975140,57449387876,2459808091,43.61536,c0a33ef023daed13
j3037,6,cadical,True,unsat,False,False,332254,183324424324,106405414442,26995643180,1506043912,23.405067,3054481c8d7788d4
j3037,6,kissat,True,unsat,False,False,299049,124990928704,72098355563,19350045830,1139967247,15.860574,ab8dd6c883d28152
j3037,7,baseline,False,unsat,False,False,355259,272087386846,180692561446,57437192629,2442156850,39.690667,54ea11e35f660c95
j3037,7,cadical,False,unsat,False,False,373071,201084543385,116089075485,29538350883,1655867342,25.470007,aa5f2917ff43b90a
j3037,7,kissat,False,unsat,False,False,322143,133475080335,76284243200,20695704456,1219855254,16.806097,0f0a6d5782bffe9a
noL_11_14,1,baseline,True,sat,True,False,4218261,1050260481352,604844856990,224912058968,9118679000,132.924401,d84180314f484f7f
noL_11_14,1,cadical,True,sat,True,False,325981,55220223953,32922753043,8489370574,542906651,7.279217,76889258215294c4
